model,origin,forecast,actual_y60,label_exit_date,training_months,training_mean_y60,trend_above_120_day_mean,calendar_target_roll_month,label_overlap_warning,forecast_error,squared_error,training_mean_squared_error,direction_correct
E2_MATCHED_PRICE,2024-08-30,-0.001877333276238768,0.19195504288672005,2024-12-04,24,-0.014561987342589108,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.1938323761629588,0.037570990048978764,0.0426492837747334,False
E3_FORWARD_EPS,2024-08-30,0.010346123354257853,0.19195504288672005,2024-12-04,24,-0.014561987342589108,False,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.1816089195324622,0.032981799653748325,0.0426492837747334,True
E1_PRICE_FORWARD_EPS,2024-09-30,-0.11678262592836687,-0.12220790378006874,2024-12-31,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.005425277851701868,2.9433639768166837e-05,0.01171835224125352,True
E2_MATCHED_PRICE,2024-09-30,-0.16028123070838973,-0.12220790378006874,2024-12-31,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.038073326928320994,0.0014495782233908126,0.01171835224125352,True
E3_FORWARD_EPS,2024-09-30,0.01690968008562901,-0.12220790378006874,2024-12-31,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.13911758386569775,0.019353702140629446,0.01171835224125352,False
E1_PRICE_FORWARD_EPS,2024-10-31,-0.02671441778835035,-0.007063572149344055,2025-01-27,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.019650845639006296,0.00038615573432805274,4.7513357215810335e-05,True
E2_MATCHED_PRICE,2024-10-31,-0.08666239971436372,-0.007063572149344055,2025-01-27,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.07959882756501967,0.0063359733497257344,4.7513357215810335e-05,True
E3_FORWARD_EPS,2024-10-31,0.01910070462286052,-0.007063572149344055,2025-01-27,25,-0.013956565491558331,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,0.026164276772204575,0.0006845693790125238,4.7513357215810335e-05,False
E1_PRICE_FORWARD_EPS,2024-11-29,-0.020140962673605656,-0.004253189892419296,2025-03-05,26,-0.008148061643741279,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.01588777278118636,0.00025242132394660615,1.5170025959245972e-05,True
E2_MATCHED_PRICE,2024-11-29,-0.12846371418405467,-0.004253189892419296,2025-03-05,26,-0.008148061643741279,True,False,月度预测的60交易日标签存在重叠，不按独立样本解释,-0.12421052429163537,0.01542825434480294,1.5170025959245972e-05,True
