cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_TREND_REBOUND_D50_L3,PENETRATION,LIMIT_POLICY,-0.10984376889999994,-0.017402106714788552,-0.014644639079624013,0.07619690396629492,-0.19219467350145816,-0.20980386987840044,1604,0.1453709750797892,76,2805.25378,8576.799999999828,False,3.461764208623208e-11,-0.053659578360405524,False
BASE,S1_TREND_REBOUND_D100_L1,PENETRATION,LIMIT_POLICY,-0.07422540439999983,-0.011568553019878166,-0.00973807758049738,0.06138263366943153,-0.15864548323130895,-0.18818753080446457,1604,0.08074245205668501,36,1365.48088,4141.799999999961,False,2.773958840407431e-11,-0.04782602466549514,False
BASE,S1_TREND_REBOUND_D100_L3,PENETRATION,LIMIT_POLICY,-0.02215377309999944,-0.0033742759327854794,-0.0010507481760508148,0.06812038008626045,-0.015424872478988789,-0.21452819548190405,1604,0.10689012823263883,54,2022.4546200000002,6241.9999999998345,False,2.8251179173821583e-11,-0.03963174757840245,False
BASE,R2_Z_CONFIRM_D50_L1,PENETRATION,LIMIT_POLICY,0.039544605500000225,0.0058684130242192874,0.007618996765491458,0.059467598884432066,0.12812013446680498,-0.15419153595506693,1604,0.09003329871459348,32,1306.0789,3732.19999999987,False,3.282707439211663e-11,-0.030389058621397687,False
BASE,R2_Z_CONFIRM_D50_L3,PENETRATION,LIMIT_POLICY,0.08661691570000113,0.012611738180556442,0.014463185528529366,0.06217828365308582,0.2326083107926312,-0.15419153595506693,1604,0.0962519632755771,36,1479.81686,4299.199999999812,False,3.282707439211663e-11,-0.023645733465060534,False
BASE,R2_Z_CONFIRM_D100_L1,PENETRATION,LIMIT_POLICY,0.05817475230000089,0.008567671938694222,0.009629963414564888,0.046785968474855305,0.2058301608043109,-0.10445890236128427,1604,0.05716707884836977,20,801.9495400000001,2249.000000000001,False,3.736033704626607e-11,-0.027689799706922754,False
BASE,R2_Z_CONFIRM_D100_L3,PENETRATION,LIMIT_POLICY,0.10164074080000081,0.014711755063401317,0.01606857437899786,0.05410869790407299,0.2969684173048324,-0.1312593297786851,1604,0.07459912426833204,28,1136.4518400000002,3223.1999999999207,False,3.397815362404799e-11,-0.021545716582215657,False
BASE,V1_CLIMAX_RECOVERY_D50_L1,PENETRATION,LIMIT_POLICY,0.08192147119999994,0.011950356191534702,0.012165903347349315,0.024019815063995406,0.506494463630798,-0.05488296666723314,1604,0.01675578192802436,8,325.10576000000003,894.2000000000098,False,1.7848833522293717e-11,-0.024307115454082276,False
BASE,V1_CLIMAX_RECOVERY_D50_L3,PENETRATION,LIMIT_POLICY,0.08192147119999994,0.011950356191534702,0.012165903347349315,0.024019815063995406,0.506494463630798,-0.05488296666723314,1604,0.01675578192802436,8,325.10576000000003,894.2000000000098,False,1.7848833522293717e-11,-0.024307115454082276,False
BASE,V1_CLIMAX_RECOVERY_D100_L1,PENETRATION,LIMIT_POLICY,0.07193029829999961,0.01053488814045443,0.010541922706674025,0.011190021662492599,0.94208242169978,-0.002403365987127091,1604,0.008712447339780232,4,163.84034,465.8000000000095,False,2.5352164811920375e-11,-0.025722583505162544,False
BASE,V1_CLIMAX_RECOVERY_D100_L3,PENETRATION,LIMIT_POLICY,0.07193029829999961,0.01053488814045443,0.010541922706674025,0.011190021662492599,0.94208242169978,-0.002403365987127091,1604,0.008712447339780232,4,163.84034,465.8000000000095,False,2.5352164811920375e-11,-0.025722583505162544,False
STRESS,S1_TREND_REBOUND_D50_L1,PENETRATION,LIMIT_POLICY,-0.2372522684000009,-0.040037034515137154,-0.03820447162771704,0.07269892259940873,-0.5255163386427926,-0.27991386303572874,1604,0.12979494361673266,68,4815.153680000001,13324.89999999986,False,2.9956481739645824e-11,-0.0761219790288798,False
STRESS,S1_TREND_REBOUND_D50_L3,PENETRATION,LIMIT_POLICY,-0.14230358880000016,-0.022893614860470205,-0.020243683894020443,0.07625632406139705,-0.2654689187184191,-0.21976000792795397,1604,0.14476393005525315,76,5508.71776,15251.29999999979,False,4.0188297134591267e-11,-0.058978559374212855,False
STRESS,S1_TREND_REBOUND_D100_L1,PENETRATION,LIMIT_POLICY,-0.09824008759999979,-0.015480230630665325,-0.013675282825217785,0.06182668709872557,-0.2211873782494756,-0.194819585563843,1604,0.08077367459265394,36,2701.8175200000005,7424.600000000013,False,3.043965079996269e-11,-0.05156517514440797,False
STRESS,S1_TREND_REBOUND_D100_L3,PENETRATION,LIMIT_POLICY,-0.048144982200001234,-0.007416807985626977,-0.005122969490953522,0.06799782216066486,-0.07534019955593578,-0.2208449263707133,1604,0.1044255666612041,52,3861.0964400000003,10761.799999999937,False,3.0809133022557944e-11,-0.04350175249936962,False
STRESS,R2_Z_CONFIRM_D50_L1,PENETRATION,LIMIT_POLICY,-0.011170285999999325,-0.0016933404911905726,4.7029007666251165e-05,0.05902228387448991,0.0007968008789063078,-0.15879489455243403,1604,0.08630636036317359,30,2344.7572,6337.999999999964,False,3.376499080331996e-11,-0.03777828500493322,False
STRESS,R2_Z_CONFIRM_D50_L3,PENETRATION,LIMIT_POLICY,0.06630527840000039,0.009733044916369603,0.011615478669275748,0.06216196736132629,0.18685828589946224,-0.15880468222237074,1604,0.09565445869085748,36,2932.1443200000003,7963.999999999889,False,3.9761971493135206e-11,-0.026351899597373045,False
STRESS,R2_Z_CONFIRM_D100_L1,PENETRATION,LIMIT_POLICY,0.03805016480000012,0.0056501134164429105,0.006756486424743418,0.047277756205042154,0.14291047137348795,-0.10737406471645818,1604,0.057176732140208755,20,1591.7670400000002,4281.99999999998,False,2.8535396268125623e-11,-0.030434831097299737,False
STRESS,R2_Z_CONFIRM_D100_L3,PENETRATION,LIMIT_POLICY,0.06907846480000011,0.010128808689253968,0.011565120559036426,0.05453215633832411,0.21207891518694064,-0.1340983420687521,1604,0.0746023496309447,28,2244.3070400000006,6090.799999999949,False,3.3651303965598345e-11,-0.025956135824488677,False
STRESS,V1_CLIMAX_RECOVERY_D50_L1,PENETRATION,LIMIT_POLICY,0.07651120019999993,0.011185257605557691,0.011406834560767133,0.023905305329145088,0.4771674908021378,-0.05488452320881246,1604,0.016760153558577205,8,648.6599600000001,1703.0000000000405,False,3.225864020350855e-11,-0.024899686908184955,False
