era,cost,model,assumption,kind,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
2022—2023,STRESS,V1_CLIMAX_RECOVERY_D50_L3,OPEN_ONLY,LIMIT_POLICY,-0.02294723371073655,-0.011540205021335504,-0.011215438061741412,0.027963842818861055,-0.4010692712868784,-0.05488452320881246,484,0.020583753355201125,2,160.166,424.00000000002393,False,1.6115109247039072e-11
2024—终点,STRESS,V1_CLIMAX_RECOVERY_D50_L3,OPEN_ONLY,LIMIT_POLICY,0.050087652980653,0.018830333946965296,0.018772441134185767,0.015358597883975108,1.2222757100615678,0.0,634,0.015722550695400253,2,162.36180000000002,428.00000000002416,False,2.233946361229755e-11
2020—2021,STRESS,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.016579633000000222,0.00822162438616443,0.008217890640288125,0.0077339854811360855,1.0625686666121017,-0.00300439454869106,486,0.00819217001698831,2,160.5734,408.9999999999913,False,1.6370904631912708e-11
2022—2023,STRESS,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
2024—终点,STRESS,V1_CLIMAX_RECOVERY_D100_L1,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,STRESS,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.016579633000000222,0.00822162438616443,0.008217890640288125,0.0077339854811360855,1.0625686666121017,-0.00300439454869106,486,0.00819217001698831,2,160.5734,408.9999999999913,False,1.6370904631912708e-11
2022—2023,STRESS,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,484,0.0,0,0.0,0.0,False,0.0
2024—终点,STRESS,V1_CLIMAX_RECOVERY_D100_L3,OPEN_ONLY,LIMIT_POLICY,0.0,0.0,0.0,0.0,,0.0,634,0.0,0,0.0,0.0,False,0.0
2020—2021,BASE,S1_TREND_REBOUND_D50_L1,PENETRATION,LIMIT_POLICY,0.007871435799999578,0.003911807097231042,0.007133723499904962,0.08015410998264931,0.08900009620778242,-0.08631822088328173,486,0.12056413526655209,22,875.71284,2639.5999999999094,False,2.9388047551037744e-11
2022—2023,BASE,S1_TREND_REBOUND_D50_L1,PENETRATION,LIMIT_POLICY,-0.11824799231997435,-0.06098348913343081,-0.058472756423611494,0.09419718313503019,-0.6207484605966583,-0.15379269150095506,484,0.21221089597542114,26,961.4547600000001,2904.1999999999666,False,3.524291969370097e-11
2024—终点,BASE,S1_TREND_REBOUND_D50_L1,PENETRATION,LIMIT_POLICY,-0.06942307722126702,-0.027090069618725395,-0.026446101052754335,0.04514019207991504,-0.5858659397358087,-0.09203556114468245,634,0.09134550842613705,22,765.05586,2378.499999999934,False,2.5124791136477143e-11
2020—2021,BASE,S1_TREND_REBOUND_D50_L3,PENETRATION,LIMIT_POLICY,-0.004059564900000479,-0.002023493607009718,0.0009801003820067513,0.07725653618270625,0.012686310187255653,-0.09732055399982303,486,0.11850038653054623,22,873.41298,2631.799999999942,False,2.916067387559451e-11
2022—2023,BASE,S1_TREND_REBOUND_D50_L3,PENETRATION,LIMIT_POLICY,-0.12257784802937773,-0.06329185336593647,-0.06102781610444386,0.09318055687316416,-0.6549415259184802,-0.164997995442084,484,0.21218879707675337,28,1016.14706,3114.599999999976,False,3.353761712787673e-11
2024—终点,BASE,S1_TREND_REBOUND_D50_L3,PENETRATION,LIMIT_POLICY,0.018648327620058962,0.007077502474328404,0.008787276222679222,0.059117713314963447,0.14864032673021288,-0.053479490943811166,634,0.11495974509304063,26,915.69374,2830.3999999999096,False,3.461764208623208e-11
2020—2021,BASE,S1_TREND_REBOUND_D100_L1,PENETRATION,LIMIT_POLICY,-0.0016288052999996947,-0.000811383089706041,0.002254352883741586,0.07808259001240597,0.02887138968345451,-0.07725040950222065,486,0.09394436754412536,10,401.86106,1284.3999999999583,False,2.773958840407431e-11
2022—2023,BASE,S1_TREND_REBOUND_D100_L1,PENETRATION,LIMIT_POLICY,-0.09392848721780155,-0.048122112462844084,-0.04640248377721373,0.07603061090710612,-0.6103131781212187,-0.12852377191242556,484,0.14228851658245045,18,665.6992,2003.4000000000199,False,2.6631141736288555e-11
2024—终点,BASE,S1_TREND_REBOUND_D100_L1,PENETRATION,LIMIT_POLICY,0.02341255538848618,0.008872775176813473,0.009058848907815832,0.021288544382380776,0.42552692871351444,-0.03289993256556688,634,0.02363767893781042,8,297.92062,853.9999999999825,False,2.5778490453376435e-11
2020—2021,BASE,S1_TREND_REBOUND_D100_L3,PENETRATION,LIMIT_POLICY,-0.023508227300000215,-0.011775646461722385,-0.009052464098820575,0.07445242487376666,-0.12158722988766231,-0.09747238493117938,486,0.08778256239408111,12,480.94546,1520.7999999999356,False,2.773958840407431e-11
2022—2023,BASE,S1_TREND_REBOUND_D100_L3,PENETRATION,LIMIT_POLICY,-0.07900668695516186,-0.04031603480893871,-0.037169117585720945,0.08915265483493405,-0.41691543178988316,-0.13790376500624646,484,0.17733162100803873,26,945.8759600000001,2900.200000000019,False,2.3646862246096134e-11
2024—终点,BASE,S1_TREND_REBOUND_D100_L3,PENETRATION,LIMIT_POLICY,0.08729026299634218,0.032459923884797584,0.032656073168975126,0.03781997633057362,0.8634609626282604,-0.03149855813002722,634,0.06776172838129103,16,595.6332,1820.9999999998795,False,2.8251179173821583e-11
2020—2021,BASE,R2_Z_CONFIRM_D50_L1,PENETRATION,LIMIT_POLICY,0.09602541500000004,0.04671482907727034,0.046197573355673496,0.03299072026278116,1.4003202411980011,-0.010545587391599625,486,0.032425024530856,4,166.517,469.3999999999359,False,2.461320036672987e-11
2022—2023,BASE,R2_Z_CONFIRM_D50_L1,PENETRATION,LIMIT_POLICY,-0.08785332254361941,-0.044936296650123664,-0.04183024574855099,0.09096394104527723,-0.4598552488807627,-0.15419153595506693,484,0.18333530748717886,20,817.6948600000001,2336.799999999973,False,3.129230208287481e-11
2024—终点,BASE,R2_Z_CONFIRM_D50_L1,PENETRATION,LIMIT_POLICY,0.03981917942464491,0.01501593441943698,0.015796039595094097,0.0423698700154092,0.3728130293850169,-0.039222875935121464,634,0.0629661835842545,8,321.86704,925.9999999999617,False,3.282707439211663e-11
2020—2021,BASE,R2_Z_CONFIRM_D50_L3,PENETRATION,LIMIT_POLICY,0.09602541500000004,0.04671482907727034,0.046197573355673496,0.03299072026278116,1.4003202411980011,-0.010545587391599625,486,0.032425024530856,4,166.517,469.3999999999359,False,2.461320036672987e-11
2022—2023,BASE,R2_Z_CONFIRM_D50_L3,PENETRATION,LIMIT_POLICY,-0.08785332254361941,-0.044936296650123664,-0.04183024574855099,0.09096394104527723,-0.4598552488807627,-0.15419153595506693,484,0.18333530748717886,20,817.6948600000001,2336.799999999973,False,3.129230208287481e-11
2024—终点,BASE,R2_Z_CONFIRM_D50_L3,PENETRATION,LIMIT_POLICY,0.08690392278901922,0.032319877651124714,0.033111621260571704,0.05126715752194952,0.6458641918346125,-0.0391925928204575,634,0.07869920875115942,12,495.605,1492.9999999999036,False,3.282707439211663e-11
2020—2021,BASE,R2_Z_CONFIRM_D100_L1,PENETRATION,LIMIT_POLICY,0.05942757999999997,0.0291627300994152,0.02920554899210843,0.030494864381308013,0.9577202451836488,-0.010600519697251815,486,0.020204524767668503,2,80.88400000000001,221.6000000000002,False,2.3874235921539366e-11
2022—2023,BASE,R2_Z_CONFIRM_D100_L1,PENETRATION,LIMIT_POLICY,-0.06892687785228209,-0.03507869639658286,-0.03293920087056634,0.07411458894686077,-0.4444361270651226,-0.10445890236128423,484,0.12787081576641846,14,559.0070800000001,1604.6000000000004,False,3.736033704626607e-11
2024—终点,BASE,R2_Z_CONFIRM_D100_L1,PENETRATION,LIMIT_POLICY,0.07275940494485802,0.02717122696629009,0.027121668340932954,0.025123058426153384,1.0795528108432448,-0.017019680837375983,634,0.031525426821374915,4,162.05846000000003,422.8000000000004,False,2.5622171051509213e-11
2020—2021,BASE,R2_Z_CONFIRM_D100_L3,PENETRATION,LIMIT_POLICY,0.05942757999999997,0.0291627300994152,0.02920554899210843,0.030494864381308013,0.9577202451836488,-0.010600519697251815,486,0.020204524767668503,2,80.88400000000001,221.6000000000002,False,2.3874235921539366e-11
2022—2023,BASE,R2_Z_CONFIRM_D100_L3,PENETRATION,LIMIT_POLICY,-0.05361855606968409,-0.027178616635964405,-0.023747660944400284,0.08718905189227415,-0.2723697577735052,-0.13125932977868507,484,0.16086453206955786,18,723.69542,2050.5999999999776,False,2.8990143619012088e-11
2024—终点,BASE,R2_Z_CONFIRM_D100_L3,PENETRATION,LIMIT_POLICY,0.09875913191424081,0.03660339113967905,0.03639426560069023,0.029898027712057337,1.2172798136116876,-0.024939847683140687,634,0.05044031982279448,8,331.87242000000003,950.9999999999429,False,3.397815362404799e-11
2020—2021,BASE,V1_CLIMAX_RECOVERY_D50_L1,PENETRATION,LIMIT_POLICY,0.017712029500000035,0.00878070035935544,0.008772938907359763,0.007821192205760831,1.1216881872431042,-0.002391845743045072,486,0.0081477337213043,2,79.89410000000001,244.20000000000925,False,1.3869794202037156e-11
2022—2023,BASE,V1_CLIMAX_RECOVERY_D50_L1,PENETRATION,LIMIT_POLICY,0.010974382906220973,0.005472218863465652,0.0062150050189827555,0.03910562922689892,0.15892865405443332,-0.05488296666723315,484,0.026775848700432505,4,161.14770000000001,428.4000000000003,False,1.743671873555286e-11
2024—终点,BASE,V1_CLIMAX_RECOVERY_D50_L1,PENETRATION,LIMIT_POLICY,0.05155182278060399,0.01937234327807262,0.01930977638956436,0.015715168513511086,1.228734924029788,0.0,634,0.015704991881684307,2,84.06396000000001,221.6000000000002,False,1.7848833522293717e-11
