date,variance_status,variance_fit_index,next_variance_percent_squared,forecast_annual_volatility,realized_annual_volatility20
2013-05-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.18900520348538866
2013-05-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19301217553086392
2013-05-07,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19307129799006448
2013-05-08,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19367684830375925
2013-05-09,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1937913473907308
2013-05-10,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19325982192127597
2013-05-13,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19404204611550513
2013-05-14,NO_VIEW_NO_VARIANCE_MODEL,,,,0.2007737979344548
2013-05-15,NO_VIEW_NO_VARIANCE_MODEL,,,,0.20084934393591267
2013-05-16,NO_VIEW_NO_VARIANCE_MODEL,,,,0.20752460330786127
2013-05-17,NO_VIEW_NO_VARIANCE_MODEL,,,,0.21357944883016955
2013-05-20,NO_VIEW_NO_VARIANCE_MODEL,,,,0.21379783881085693
2013-05-21,NO_VIEW_NO_VARIANCE_MODEL,,,,0.21404250789540108
2013-05-22,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19281261338527006
2013-05-23,NO_VIEW_NO_VARIANCE_MODEL,,,,0.19693789202584314
2013-05-24,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1593422606161597
2013-05-27,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15161191441420532
2013-05-28,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15761223904198163
2013-05-29,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15268220032984578
2013-05-30,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15405197485112757
2013-05-31,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15337565714869655
2013-06-03,NO_VIEW_NO_VARIANCE_MODEL,,,,0.14950145698308326
2013-06-04,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15991337368554745
2013-06-05,NO_VIEW_NO_VARIANCE_MODEL,,,,0.15913256981076598
2013-06-06,NO_VIEW_NO_VARIANCE_MODEL,,,,0.16200413451029616
2013-06-07,NO_VIEW_NO_VARIANCE_MODEL,,,,0.1733909553405404
