ts_code,trade_time,receipt_path,vol_unchanged_from_raw,amount_unchanged_from_raw,low_unchanged_from_raw,high_unchanged_from_raw
510300.SH,2017-10-13 10:38:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-10-20 13:45:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-10-25 13:03:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-10-27 13:03:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-10-27 13:22:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-10-31 14:30:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201710/retrieved_at=20260904T222716424325+0800-2759ade5c586/receipt.json,True,True,True,True
510300.SH,2017-11-01 10:28:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-11-07 14:18:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-11-13 13:25:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-11-23 14:54:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-11-29 14:20:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-11-30 13:13:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201711/retrieved_at=20260904T222717095819+0800-874f21a77476/receipt.json,True,True,True,True
510300.SH,2017-12-05 11:08:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201712/retrieved_at=20260904T222717822706+0800-cbcff7d4d368/receipt.json,True,True,True,True
510300.SH,2017-12-06 10:12:00,data/raw/tushare/510300_stk_mins_source_admission_v1/stk_mins/510300.SH/1min/month=201712/retrieved_at=20260904T222717822706+0800-cbcff7d4d368/receipt.json,True,True,True,True
