period,ts_code,status,source_usable,publication_date,reported_send_date,feature_available_session,source_page,source_url,source_sha256,identity_residual,beginning_units,gross_subscription_units,gross_redemption_units,split_delta_units,ending_units,net_subscription_units,net_units_divided_by_beginning_units,quarter_transition_residual
2023Q4,510300.SH,NO_VIEW_ORIGINAL_FLOW_TABLE_NOT_UNIQUELY_VERIFIED,False,2024-01-22,2024-01-22,,,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-22/510300_20240122_7UTB.pdf,2ff7a345682ff7967f1d6c4057e9e05906dd83c1780772a4f273597dd0e91ebc,,,,,,,,,
2024Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2024-04-22,2024-04-22,2024-04-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-04-22/510300_20240422_FKAE.pdf,fe5419bf5778759360367834e584af19a9f06d44ae674ff45a4c39e81bc05055,0.00,37444087690.0,25785000000.0,7900200000.0,0.0,55328887690.0,17884800000.0,0.47764015905711066,
2024Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2024-07-19,2024-07-19,2024-07-22,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-07-19/510300_20240719_8IJ3.pdf,c81544ed253786d3392553fc7866ee4fbcc73189e8bb166fdaf3b756bb39a070,0.00,55328887690.0,10129500000.0,4718700000.0,0.0,60739687690.0,5410800000.0,0.097793399179032,0.0
2024Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2024-10-25,2024-10-25,2024-10-28,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-10-25/510300_20241025_VBWZ.pdf,4255c94c60aae9f9abb1d96bc9cc0698ed48d1b46b4f7c9cd75045794b33bade,0.00,60739687690.0,37646100000.0,1463400000.0,0.0,96922387690.0,36182700000.0,0.5957011202406464,0.0
2024Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2025-01-22,2025-01-22,2025-01-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-22/510300_20250122_TVL5.pdf,82a9c2641ced9abcdffeee8741dea1fff122f4130ce85f50b8c3b9874364b5ab,0.00,96922387690.0,12848400000.0,20384100000.0,0.0,89386687690.0,-7535700000.0,-0.07774983860387809,0.0
2025Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2025-04-22,2025-04-22,2025-04-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-04-22/510300_20250422_Y2W8.pdf,aec1a1c10ecd809d71cd77d352f0af39519aaf31999b626db600e6b1bd640d95,0.00,89386687690.0,6903000000.0,11229300000.0,0.0,85060387690.0,-4326300000.0,-0.04839982453543805,0.0
2025Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2025-07-21,2025-07-21,2025-07-22,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-07-21/510300_20250721_P6RU.pdf,35c05c63ddb4dd1337ec0ca09ba8134fdda2ec1a05ccd1ee62afc8bae37a5921,0.00,85060387690.0,18158400000.0,9176400000.0,0.0,94042387690.0,8982000000.0,0.10559556855929962,0.0
2025Q3,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2025-10-28,2025-10-28,2025-10-29,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-10-28/510300_20251028_LQSR.pdf,26bfd30e3484a58f4ba2a0945ec49039b1cc2c01fa2433f66eb53e1ae1f1ecd8,0.00,94042387690.0,6707700000.0,11034000000.0,0.0,89716087690.0,-4326300000.0,-0.04600372349393291,0.0
2025Q4,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2026-01-22,2026-01-22,2026-01-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-01-22/510300_20260122_ZDUH.pdf,5196e2f438f25c0d4adf1a1b8f5b5310e573559cbfabaccadc89cfbfc0e26537,0.00,89716087690.0,9117900000.0,10004400000.0,0.0,88829587690.0,-886500000.0,-0.009881170956352476,0.0
2026Q1,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2026-04-22,2026-04-22,2026-04-23,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-04-22/510300_20260422_XODY.pdf,40db45be034ee6637395d213165a9e19d508d14d40365facb4ea25cf219890cd,0.00,88829587690.0,5986800000.0,49987800000.0,0.0,44828587690.0,-44001000000.0,-0.4953417115202193,0.0
2026Q2,510300.SH,PASS_ORIGINAL_FACTS_AND_CLOCK,True,2026-07-21,2026-07-21,2026-07-22,12.0,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2026-07-21/510300_20260721_IQ8D.pdf,8dec5c26ce93c0a82e78fd926de8828950d2a6a004042cb296f065915b15ea13,0.00,44828587690.0,6127200000.0,32040900000.0,0.0,18914887690.0,-25913700000.0,-0.57806193180118,0.0
