period,date,status,observations,panic_budget,learned_budget
earlier_diagnostic,2016-11-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2016-12-01,TAIL_LOSS_BUDGET_AVAILABLE,242,0.9395786168108501,0.06042138318914991
earlier_diagnostic,2017-01-03,TAIL_LOSS_BUDGET_AVAILABLE,242,0.5789305313430891,0.42106946865691086
earlier_diagnostic,2017-02-03,TAIL_LOSS_BUDGET_AVAILABLE,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-03-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-04-05,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-05-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-06-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-07-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-08-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-09-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-10-09,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2017-12-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2018-01-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2018-02-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,0.9999999999999997,3.3306690738754696e-16
earlier_diagnostic,2018-03-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2018-04-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2018-05-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2018-06-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2018-07-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2018-08-01,TAIL_LOSS_BUDGET_AVAILABLE,242,-0.0,1.0
earlier_diagnostic,2018-09-03,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,-0.0,1.0
earlier_diagnostic,2018-10-08,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,-0.0,1.0
earlier_diagnostic,2018-11-01,TAIL_LOSS_BUDGET_AVAILABLE,242,-0.0,1.0
earlier_diagnostic,2018-12-03,TAIL_LOSS_BUDGET_AVAILABLE,242,-0.0,1.0
earlier_diagnostic,2019-01-02,TAIL_LOSS_BUDGET_AVAILABLE,242,-0.0,1.0
earlier_diagnostic,2019-02-01,TAIL_LOSS_BUDGET_AVAILABLE,242,-0.0,1.0
earlier_diagnostic,2019-03-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-04-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-05-06,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-06-03,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-07-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-08-01,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-09-02,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-10-08,TAIL_LOSS_BUDGET_AVAILABLE,242,1.0,0.0
earlier_diagnostic,2019-11-01,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
earlier_diagnostic,2019-12-02,NO_VIEW_ZERO_OR_INVALID_RISK_KEEP_BUDGET,242,1.0,0.0
