拟合收盘,因子,训练均值,训练标准差,固定不同周期邻居数
2020-11-02,持仓时间对数,2.7721252768419076,1.0172841278881883,5
2020-11-02,不含已付买入费用的市场涨跌,0.0557412171090052,0.0879674997843084,5
2020-11-02,不含已付买入费用的市场回撤,-0.017946904020639583,0.01933596890135994,5
2020-11-02,入场模式,1.0,1.0,5
2020-11-02,五日涨跌,0.0004954257786515497,0.04096684736543314,5
2020-11-02,二十日涨跌,0.02532354198505375,0.06640791129673496,5
2020-11-02,一百二十日均线偏离,0.07784012631785112,0.12203514934009216,5
2020-11-02,二十日波动,0.22813596461717278,0.11424857297158479,5
2020-12-01,持仓时间对数,2.7721252768419076,1.0172841278881883,5
2020-12-01,不含已付买入费用的市场涨跌,0.0557412171090052,0.0879674997843084,5
2020-12-01,不含已付买入费用的市场回撤,-0.017946904020639583,0.01933596890135994,5
2020-12-01,入场模式,1.0,1.0,5
2020-12-01,五日涨跌,0.0004954257786515497,0.04096684736543314,5
2020-12-01,二十日涨跌,0.02532354198505375,0.06640791129673496,5
2020-12-01,一百二十日均线偏离,0.07784012631785112,0.12203514934009216,5
2020-12-01,二十日波动,0.22813596461717278,0.11424857297158479,5
2021-01-04,持仓时间对数,2.7721252768419076,1.0172841278881883,5
2021-01-04,不含已付买入费用的市场涨跌,0.0557412171090052,0.0879674997843084,5
2021-01-04,不含已付买入费用的市场回撤,-0.017946904020639583,0.01933596890135994,5
2021-01-04,入场模式,1.0,1.0,5
2021-01-04,五日涨跌,0.0004954257786515497,0.04096684736543314,5
2021-01-04,二十日涨跌,0.02532354198505375,0.06640791129673496,5
2021-01-04,一百二十日均线偏离,0.07784012631785112,0.12203514934009216,5
2021-01-04,二十日波动,0.22813596461717278,0.11424857297158479,5
2021-02-01,持仓时间对数,2.7721252768419076,1.0172841278881883,5
2021-02-01,不含已付买入费用的市场涨跌,0.0557412171090052,0.0879674997843084,5
2021-02-01,不含已付买入费用的市场回撤,-0.017946904020639583,0.01933596890135994,5
2021-02-01,入场模式,1.0,1.0,5
2021-02-01,五日涨跌,0.0004954257786515497,0.04096684736543314,5
2021-02-01,二十日涨跌,0.02532354198505375,0.06640791129673496,5
2021-02-01,一百二十日均线偏离,0.07784012631785112,0.12203514934009216,5
2021-02-01,二十日波动,0.22813596461717278,0.11424857297158479,5
2021-03-01,持仓时间对数,2.746484267648495,1.009932788398791,5
2021-03-01,不含已付买入费用的市场涨跌,0.056738875955262925,0.08782203973627667,5
2021-03-01,不含已付买入费用的市场回撤,-0.018334283612693632,0.019558220308980894,5
2021-03-01,入场模式,1.0,1.0,5
2021-03-01,五日涨跌,0.0008765510989177758,0.041585706575946,5
2021-03-01,二十日涨跌,0.026486437790216356,0.06702911840863293,5
2021-03-01,一百二十日均线偏离,0.07944066691220683,0.12245092580078942,5
2021-03-01,二十日波动,0.23107667999801454,0.11294530434235088,5
2021-04-01,持仓时间对数,2.746484267648495,1.009932788398791,5
2021-04-01,不含已付买入费用的市场涨跌,0.056738875955262925,0.08782203973627667,5
2021-04-01,不含已付买入费用的市场回撤,-0.018334283612693632,0.019558220308980894,5
2021-04-01,入场模式,1.0,1.0,5
2021-04-01,五日涨跌,0.0008765510989177758,0.041585706575946,5
2021-04-01,二十日涨跌,0.026486437790216356,0.06702911840863293,5
2021-04-01,一百二十日均线偏离,0.07944066691220683,0.12245092580078942,5
2021-04-01,二十日波动,0.23107667999801454,0.11294530434235088,5
2021-05-06,持仓时间对数,2.746484267648495,1.009932788398791,5
2021-05-06,不含已付买入费用的市场涨跌,0.056738875955262925,0.08782203973627667,5
2021-05-06,不含已付买入费用的市场回撤,-0.018334283612693632,0.019558220308980894,5
2021-05-06,入场模式,1.0,1.0,5
2021-05-06,五日涨跌,0.0008765510989177758,0.041585706575946,5
2021-05-06,二十日涨跌,0.026486437790216356,0.06702911840863293,5
2021-05-06,一百二十日均线偏离,0.07944066691220683,0.12245092580078942,5
2021-05-06,二十日波动,0.23107667999801454,0.11294530434235088,5
2021-06-01,持仓时间对数,2.746484267648495,1.009932788398791,5
2021-06-01,不含已付买入费用的市场涨跌,0.056738875955262925,0.08782203973627667,5
2021-06-01,不含已付买入费用的市场回撤,-0.018334283612693632,0.019558220308980894,5
2021-06-01,入场模式,1.0,1.0,5
2021-06-01,五日涨跌,0.0008765510989177758,0.041585706575946,5
2021-06-01,二十日涨跌,0.026486437790216356,0.06702911840863293,5
2021-06-01,一百二十日均线偏离,0.07944066691220683,0.12245092580078942,5
2021-06-01,二十日波动,0.23107667999801454,0.11294530434235088,5
2021-07-01,持仓时间对数,2.746484267648495,1.009932788398791,5
2021-07-01,不含已付买入费用的市场涨跌,0.056738875955262925,0.08782203973627667,5
2021-07-01,不含已付买入费用的市场回撤,-0.018334283612693632,0.019558220308980894,5
2021-07-01,入场模式,1.0,1.0,5
2021-07-01,五日涨跌,0.0008765510989177758,0.041585706575946,5
2021-07-01,二十日涨跌,0.026486437790216356,0.06702911840863293,5
2021-07-01,一百二十日均线偏离,0.07944066691220683,0.12245092580078942,5
2021-07-01,二十日波动,0.23107667999801454,0.11294530434235088,5
2021-08-02,持仓时间对数,2.7278140971741247,1.0049202834684487,5
2021-08-02,不含已付买入费用的市场涨跌,0.0446019204158918,0.07263793816729174,5
2021-08-02,不含已付买入费用的市场回撤,-0.018811352502632828,0.019389040318481814,5
2021-08-02,入场模式,1.0,1.0,5
2021-08-02,五日涨跌,-0.001050358885600466,0.03998802025947155,5
2021-08-02,二十日涨跌,0.0195381764626577,0.06059510793416421,5
2021-08-02,一百二十日均线偏离,0.06647481288280367,0.11509822631013239,5
2021-08-02,二十日波动,0.22415058588884512,0.11134447067538365,5
2021-09-01,持仓时间对数,2.7278140971741247,1.0049202834684487,5
