date,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,estimated_portfolio_variance,minimum_scaled_eigenvalue,active_strategies,target,panic_budget,panic_sd,panic_state,learned_budget,learned_sd,learned_state,breakout_budget,breakout_sd,breakout_state,panic_learned_covariance,panic_breakout_covariance,learned_breakout_covariance,panic_reference_return,learned_reference_return,breakout_reference_return
2013-07-31,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-01,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-02,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-05,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-06,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-07,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-08,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-09,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-12,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-13,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-14,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-15,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-16,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-19,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-20,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-21,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-22,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-23,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-26,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-27,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-28,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-29,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-08-30,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-02,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-03,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-04,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-05,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-06,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-09,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-10,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-11,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-12,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-13,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-16,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-17,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-18,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-23,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-24,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-25,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-26,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-27,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-09-30,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-08,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-09,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-10,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-11,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-14,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-15,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-16,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-17,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-18,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-21,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-22,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
2013-10-23,NO_VIEW_OUTSIDE_DECISION_PERIOD,False,,,,0,,,,,,,,,,,,,,,,,,,
