period,origin,origin_index,decision_time,training_source_cost,available_calendar_rows,previous_valid_131_budget,training_start,training_end,status,reference_budget131,complete_pair_rows,previous_worst_block_growth,chosen_worst_block_growth,chosen_block_growths,numerical_candidate_weight
earlier_diagnostic,2017-07-03,1240,2017-07-03 15:05:00,BASE,608,0.0,2016-07-05,2017-07-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.00013616433550649212, 0.0, 0.0004083427751818931]",0.5
earlier_diagnostic,2017-08-01,1261,2017-08-01 15:05:00,BASE,629,0.0,2016-08-03,2017-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0006875850320828319]",0.5
earlier_diagnostic,2017-09-01,1284,2017-09-01 15:05:00,BASE,652,0.0,2016-09-05,2017-09-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0006130047591288865]",0.5
earlier_diagnostic,2017-10-09,1305,2017-10-09 15:05:00,BASE,673,0.0,2016-10-13,2017-10-09,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.00026804494457837027, 0.0003416092527432865]",0.5
earlier_diagnostic,2017-11-01,1322,2017-11-01 15:05:00,BASE,690,0.0,2016-11-07,2017-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0, 0.0004399084235975193, 0.00016759748023639824]",0.5
earlier_diagnostic,2017-12-01,1344,2017-12-01 15:05:00,BASE,712,0.0,2016-12-07,2017-12-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-3.7266056646753754e-05,0.0,"[0.0, 0.0012094646831551203, 0.0]",1.0
earlier_diagnostic,2018-01-02,1365,2018-01-02 15:05:00,BASE,733,1.0,2017-01-06,2018-01-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0, 0.0012094646831551203, 0.0]",0.5
earlier_diagnostic,2018-02-01,1387,2018-02-01 15:05:00,BASE,755,1.0,2017-02-14,2018-02-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0006530503381108204, 0.0005564143450443, 0.0]",0.5
earlier_diagnostic,2018-03-01,1402,2018-03-01 15:05:00,BASE,770,1.0,2017-03-07,2018-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0002616799719997354,"[0.0003384350822063966, 0.00026700171693324443, 0.0002616799719997354]",0.0
earlier_diagnostic,2018-04-02,1424,2018-04-02 15:05:00,BASE,792,0.0,2017-04-10,2018-04-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-5.0714504792998406e-05,0.0,"[0.0012094646831551203, 0.0, 0.0]",1.0
earlier_diagnostic,2018-05-02,1442,2018-05-02 15:05:00,BASE,810,1.0,2017-05-05,2018-05-02,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0012094646831551203, 0.0, 0.0]",0.5
earlier_diagnostic,2018-06-01,1464,2018-06-01 15:05:00,BASE,832,1.0,2017-06-08,2018-06-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0007187970902025117, 0.0, 0.0]",0.5
earlier_diagnostic,2018-07-02,1484,2018-07-02 15:05:00,BASE,852,1.0,2017-07-06,2018-07-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,5.067747262190046e-05,"[0.00016552837554212172, 0.000186986655518764, 5.067747262190046e-05]",0.0
earlier_diagnostic,2018-08-01,1506,2018-08-01 15:05:00,BASE,874,0.0,2017-08-07,2018-08-01,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,-3.6805981873337035e-05,0.0,"[0.0, 0.0, 0.0]",1.0
earlier_diagnostic,2018-09-03,1529,2018-09-03 15:05:00,BASE,897,1.0,2017-09-07,2018-09-03,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
earlier_diagnostic,2018-10-08,1548,2018-10-08 15:05:00,BASE,916,1.0,2017-10-11,2018-10-08,BUDGET_OPTIMIZATION_COMPLETE,1.0,242.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.5
earlier_diagnostic,2018-11-01,1566,2018-11-01 15:05:00,BASE,934,1.0,2017-11-06,2018-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003839669251652921,-0.00035653974800305675,"[0.00023703848033051754, 0.0, -0.00035653974800305675]",0.0
earlier_diagnostic,2018-12-03,1588,2018-12-03 15:05:00,BASE,956,0.0,2017-12-06,2018-12-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003565397480030567,-0.0003565397480030567,"[0.0002370384803305176, 0.0, -0.0003565397480030567]",0.0
earlier_diagnostic,2019-01-02,1608,2019-01-02 15:05:00,BASE,976,0.0,2018-01-04,2019-01-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003565397480030567,-0.0003565397480030567,"[0.0002370384803305176, 0.0, -0.0003565397480030567]",0.0
earlier_diagnostic,2019-02-01,1630,2019-02-01 15:05:00,BASE,998,0.0,2018-02-05,2019-02-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00035030349464894935,-0.00035030349464894935,"[0.0002370384803305176, -6.159262571957928e-06, -0.00035030349464894935]",0.0
earlier_diagnostic,2019-03-01,1645,2019-03-01 15:05:00,BASE,1013,0.0,2018-03-05,2019-03-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[3.214733187198965e-05, -0.0003521380227190684, 0.00012336407285372413]",0.0
earlier_diagnostic,2019-04-01,1666,2019-04-01 15:05:00,BASE,1034,0.0,2018-04-03,2019-04-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[0.0, -0.0003521380227190684, 0.000249141083432712]",0.0
earlier_diagnostic,2019-05-06,1687,2019-05-06 15:05:00,BASE,1055,0.0,2018-05-08,2019-05-06,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[0.0, -0.0003521380227190684, 0.000249141083432712]",0.0
earlier_diagnostic,2019-06-03,1707,2019-06-03 15:05:00,BASE,1075,0.0,2018-06-05,2019-06-03,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[0.0, -0.0003521380227190684, 0.0002443168763268704]",0.0
earlier_diagnostic,2019-07-01,1726,2019-07-01 15:05:00,BASE,1094,0.0,2018-07-03,2019-07-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[-0.0003521380227190684, 0.00019299115441694768, 0.0005480364388974404]",0.0
earlier_diagnostic,2019-08-01,1749,2019-08-01 15:05:00,BASE,1117,0.0,2018-08-03,2019-08-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[-0.0003521380227190684, 0.0002460652675878637, 0.000494298899311888]",0.0
earlier_diagnostic,2019-09-02,1771,2019-09-02 15:05:00,BASE,1139,0.0,2018-09-04,2019-09-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.0003521380227190684,-0.0003521380227190684,"[-0.0003521380227190684, 0.0002460652675878637, 0.000494298899311888]",0.0
earlier_diagnostic,2019-10-08,1791,2019-10-08 15:05:00,BASE,1159,0.0,2018-10-10,2019-10-08,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,-0.00034861693617377625,-0.00034861693617377625,"[-0.00034861693617377625, 0.0001976510045856907, 0.0005433183406015882]",0.0
earlier_diagnostic,2019-11-01,1809,2019-11-01 15:05:00,BASE,1177,0.0,2018-11-05,2019-11-01,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0002460652675878637, 0.0004881964437648276, 0.0]",0.5
earlier_diagnostic,2019-12-02,1830,2019-12-02 15:05:00,BASE,1198,0.0,2018-12-04,2019-12-02,BUDGET_OPTIMIZATION_COMPLETE,0.0,242.0,0.0,0.0,"[0.0002460652675878637, 0.00048819644376482766, 0.0]",0.5
