date,wealth_close,reference_new_buy,reference_holding,reference_entry_wealth_open,reference_entry_date,reference_state,stage,target,price_upgrade,stage_status
2013-01-14,1.0034343093985063,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-15,1.0092750213274848,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-16,1.0018767862174454,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-17,0.9956466934932017,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-18,1.0104431637132805,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-21,1.0139475908706674,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-22,1.0123900676896065,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-23,1.0143369716659327,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-24,1.0077174981464239,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-25,1.003044928603241,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-28,1.0303015842718073,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-29,1.038089200177112,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-30,1.0439299121060905,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-01-31,1.0466555776729474,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-01,1.0669033790267395,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-04,1.0688502830030655,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-05,1.07663789890837,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-06,1.079752945270492,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-07,1.0746909949320438,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-08,1.078195422089431,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-18,1.0622308094835564,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-19,1.0450980544918862,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-20,1.049770624035069,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-21,1.0123900676896067,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-22,1.0092750213274848,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-25,1.0108325445085455,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-26,0.9960360742884665,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-27,1.005381213374832,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-02-28,1.0392573425629075,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-01,1.0380892001771118,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-04,0.9890272199736925,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-05,1.0174520180280546,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-06,1.0283546802954813,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-07,1.015894494846994,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-08,1.014336971665933,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-11,1.0073281173511588,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
2013-03-12,0.9929210279263451,False,False,,,,,,False,NO_VIEW_OUTSIDE_DECISION_PERIOD
