period,cost,date,own_cycle,own_entry_date,own_shares,single_entry_so_far,pure_learned_at_entry,reference_learning_status,status,own_prediction,reference_prediction,sign_disagreement,confirmed_exit_disagreement,own_log_holding_days,own_cycle_return,own_cycle_drawdown,own_entry_mode,own_mom5,own_mom20,own_sma120,own_vol20,own_negative_count,reference_negative_count,prediction_difference,entry_age_difference,return_input_difference,drawdown_input_difference
evaluation,BASE,2021-08-05,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-06,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-09,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-08-10,3,2021-07-29,43500,True,False,,NOT_COMPARABLE_MULTIPLE_FILLS_OR_OTHER_ENTRY,,,False,False,,,,,,,,,,,,,,
evaluation,BASE,2021-10-29,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.011017309419549091,0.011020473621220774,False,False,0.6931471805599453,0.006249650767452097,0.0,1.0,-0.010981442090954429,0.0100888668491573,-0.018049734929941774,0.12032561402138468,0.0,0.0,-3.1642016716827703e-06,0.0,-1.5049010313017419e-05,0.0
evaluation,BASE,2021-11-01,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.008406000889186603,0.008409154926789496,False,False,1.0986122886681098,0.00301736921509721,-0.00321220638426023,1.0,-0.017568828812635724,0.00040290089183215357,-0.02094178892569809,0.11893297638570284,0.0,0.0,-3.1540376028930256e-06,0.0,-1.5000669786102705e-05,0.0
evaluation,BASE,2021-11-02,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.005566965875491809,0.0055700868798710685,False,False,1.3862943611198906,-0.007487545830055842,-0.013651877133105783,1.0,-0.024727362995589537,-0.008310577880656509,-0.030960098356991095,0.12435064919854139,0.0,0.0,-3.1210043792591347e-06,0.0,-1.4843563073352328e-05,0.0
evaluation,BASE,2021-11-03,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.004225900603822103,0.004229008903115361,False,False,1.6094379124341003,-0.011527897770499451,-0.0176671351134311,1.0,-0.015614227801550994,-0.005706149576854702,-0.03473513412210327,0.12300457215554816,0.0,0.0,-3.1082992932585096e-06,0.0,-1.4783137414764447e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-04,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.003097468367668719,0.003100606523914109,False,False,1.791759469228055,-0.0020330707104569967,-0.008231278859666569,1.0,-0.0018202047699178853,0.0010126583143864158,-0.025368692764250245,0.12734649339491194,0.0,0.0,-3.1381562453896422e-06,0.0,-1.4925137712729075e-05,0.0
evaluation,BASE,2021-11-05,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.005867750500686171,0.0058708778576084305,False,False,1.9459101490553132,-0.0054673698598342035,-0.011644248142943292,1.0,-0.011712573315082823,-0.016719092233518956,-0.02855977688907596,0.11647591719952455,0.0,0.0,-3.127356922259447e-06,0.0,-1.4873775902812802e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-08,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.00511974516742506,0.0051228699833301555,False,False,2.0794415416798357,-0.006275440247922925,-0.012447299739008266,1.0,-0.009308039683933242,-0.01733215495398119,-0.029130365416593418,0.11645459827820859,0.0,0.0,-3.1248159050954044e-06,0.0,-1.4861690771028613e-05,1.1102230246251565e-16
evaluation,BASE,2021-11-09,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.003373323260810848,0.003376446806207318,False,False,2.1972245773362196,-0.006679475441967231,-0.01284882553704092,1.0,0.0008138352432910411,-0.007294865176298401,-0.02939100882207324,0.11108085905394814,0.0,0.0,-3.123545396470015e-06,0.0,-1.485564820524754e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-10,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.007629354783905279,0.0076324624479442455,False,False,2.302585092994046,-0.011729915367521548,-0.01786789801244726,1.0,-0.00020439448206054436,-0.02363507655055384,-0.03395252702115592,0.10357030659225237,0.0,0.0,-3.1076640389666316e-06,0.0,-1.478011613187391e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-11,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0006009477727470331,0.0006041062571300075,False,False,2.3978952727983707,0.004431492394252556,-0.0018068660911463308,1.0,0.006456842448633395,-0.002009243191524082,-0.01780540483590598,0.11876167216088612,0.0,0.0,-3.158484382974336e-06,0.0,-1.5021818766669526e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-12,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.002051476139278103,0.002054633353152518,False,False,2.4849066497880004,0.00402745720020814,-0.0022083918891788734,1.0,0.009501739332473669,-0.007217352901045377,-0.017844791810762595,0.11740436405852737,0.0,0.0,-3.157213874414866e-06,0.0,-1.5015776200888453e-05,0.0
evaluation,BASE,2021-11-15,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.0014093475756635932,-0.0014061941733149712,False,False,2.5649493574615367,0.0028153516180751126,-0.0034129692832763903,1.0,0.009106609529158047,0.0032284128121190434,-0.018687893724136484,0.11005557817664734,1.0,1.0,-3.1534023486219642e-06,0.0,-1.4997648503323191e-05,0.0
evaluation,BASE,2021-11-16,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0014203450833771506,0.001423495944708567,False,False,2.6390573296152584,0.0020072812299862797,-0.0042160208793414755,1.0,0.008707152307033634,-0.00703167136368104,-0.01910697864514177,0.10465312160545086,0.0,0.0,-3.150861331416288e-06,0.0,-1.4985563371539001e-05,0.0
evaluation,BASE,2021-11-17,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0009325077141845526,0.0009356579402616059,False,False,2.70805020110221,0.0018052636329641825,-0.004416783778357858,1.0,0.013602889682070646,-0.004426566584149799,-0.01902020711551622,0.1042607237590676,0.0,0.0,-3.1502260770532864e-06,0.0,-1.4982542088315398e-05,0.0
evaluation,BASE,2021-11-18,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.001461015365340791,-0.0014578930904529499,False,False,2.772588722239781,-0.007083510636011536,-0.013250351335073351,1.0,-0.011530420049334928,-0.017745978906938308,-0.027326549796329425,0.10697833405091847,1.0,1.0,-3.122274887841156e-06,0.0,-1.4849605639244423e-05,-1.1102230246251565e-16
evaluation,BASE,2021-11-19,4,2021-10-29,4700,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.0010875336643033258,-0.001084376450428911,False,False,2.833213344056216,0.00402745720020814,-0.0022083918891788734,1.0,-8.673617379884035e-18,-0.013192276073563537,-0.015862696014772304,0.11212879403205009,2.0,2.0,-3.157213874414866e-06,0.0,-1.5015776200888453e-05,0.0
evaluation,BASE,2021-11-25,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.017942457365560757,0.017942638793285504,False,False,0.6931471805599453,-0.004815381406022001,-0.004815381406022001,1.0,0.01273645034627046,0.005842667975651102,-0.011994469180234835,0.10141106673408544,0.0,0.0,-1.814277247463858e-07,0.0,-1.7260846170596977e-05,-1.7260846170596977e-05
evaluation,BASE,2021-11-26,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.013741999365855065,0.013742179262851718,False,False,1.0986122886681098,-0.013211876781865084,-0.013211876781865084,1.0,-0.0068645535054505345,-0.00907538748805964,-0.019665608521653444,0.10312846950341714,0.0,0.0,-1.7989699665349468e-07,0.0,-1.7115214282603652e-05,-1.7115214282603652e-05
evaluation,BASE,2021-11-29,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.009344788217518949,0.009344967859394251,False,False,1.3862943611198906,-0.014611292677838894,-0.014611292677838894,1.0,-0.010895991576026675,-0.007277169773895139,-0.020449531985929803,0.10270057182855537,0.0,0.0,-1.7964187530236653e-07,0.0,-1.7090942301178913e-05,-1.7090942301178913e-05
evaluation,BASE,2021-11-30,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0044576028045264626,0.00445778179037544,False,False,1.6094379124341003,-0.018209790696057437,-0.018209790696057437,1.0,-0.015156398044258567,-0.00040716612940379544,-0.02345905477756427,0.09669620154545933,0.0,0.0,-1.7898584897708958e-07,0.0,-1.7028528634721596e-05,-1.7028528634721596e-05
evaluation,BASE,2021-12-01,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0007872408322965622,0.0007874202919423284,False,False,1.791759469228055,-0.015610875460677298,-0.015610875460677298,1.0,-0.014716524039860839,0.006315596015220643,-0.02027172669480981,0.0959163739396812,0.0,0.0,-1.7945964576621815e-07,0.0,-1.7073605171558093e-05,-1.7073605171558093e-05
evaluation,BASE,2021-12-02,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.003404164886593659,0.0034043447106984984,False,False,1.9459101490553132,-0.013611709895000379,-0.013611709895000379,1.0,-0.008878185838235197,-0.001215313092666212,-0.01770382794885439,0.09002869894740669,0.0,0.0,-1.7982410483938227e-07,0.0,-1.710827943068871e-05,-1.710827943068871e-05
evaluation,BASE,2021-12-03,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0017318659243377096,0.0017320473885083579,False,False,2.0794415416798357,-0.004615464849454187,-0.004615464849454187,1.0,0.008673781056959047,0.01131096688398223,-0.008303968742686463,0.09448642587215185,0.0,0.0,-1.8146417064823783e-07,0.0,-1.7264313596498937e-05,-1.7264313596498937e-05
evaluation,BASE,2021-12-06,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.0006064113251958428,0.0006065926071369557,False,False,2.1972245773362196,-0.005615047632292591,-0.005615047632292591,1.0,0.009088217657972224,0.01111908756801033,-0.008837566132294583,0.09452483815287625,0.0,0.0,-1.812819411129568e-07,0.0,-1.724697646698914e-05,-1.724697646698914e-05
evaluation,BASE,2021-12-07,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.0003226992094734916,-0.0003225169070469828,False,False,2.302585092994046,-1.7384048397239837e-05,-1.7384048397239837e-05,1.0,0.01836024539831988,0.017139244025625045,-0.002782784944718175,0.0960471873299573,1.0,1.0,-1.823024265087958e-07,0.0,-1.734406439235503e-05,-1.734406439235503e-05
evaluation,BASE,2021-12-08,5,2021-11-25,4600,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,-0.002161774166353936,-0.002158074914768878,False,False,2.3978952727983707,0.01437660802447649,0.0,1.0,0.03000825285488299,0.036528243352164175,0.011850455920990433,0.10420566518975907,2.0,2.0,-3.6992515850577112e-06,0.0,-1.759371905785123e-05,0.0
evaluation,BASE,2022-05-13,6,2022-05-13,12100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.015926170197036932,0.015926170197036932,False,False,0.6931471805599453,-0.0022045716170048246,-0.0022045716170048246,1.0,0.02003871744352678,-0.04637160957280389,-0.12324491819410288,0.26872034646352655,0.0,0.0,0.0,0.0,0.0,0.0
evaluation,BASE,2022-05-16,6,2022-05-13,12100,True,True,PREDICTION_AVAILABLE,COMPARABLE_SAVED_MODEL_AND_SINGLE_ACTUAL_ENTRY,0.011229838117241694,0.011229838117241694,False,False,1.0986122886681098,-0.009972441601905246,-0.009972441601905246,1.0,0.020455839833742773,-0.04648550133734196,-0.1285639292470273,0.2687500888721806,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
