period,cost,model,cycle,entry_date,entry_origin,buy_debit,gross_price_profit,commission,slippage,dividend_recognized,held_closes,buy_trades,sell_trades,exit_date,exit_origin,terminal_exit,net_profit,cycle_net_return
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,3,2015-06-03,2015-06-02,65583.62296,-6858.0,49.64684,139.70000000000152,0.0,13,1,1,2015-06-23,2015-06-19,False,-7047.346840000002,-0.10745589404687567
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,4,2015-09-29,2015-09-28,263294.7758,5281.399999999994,212.43280000000001,578.4000000000005,0.0,60,5,2,2015-12-29,2015-12-28,False,4490.567199999994,0.017055284087410267
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,5,2016-05-03,2016-04-29,361759.44591999997,-6.7000000000116415,288.92628,907.20000000001,0.0,60,4,3,2016-07-28,2016-07-27,False,-1202.8262800000216,-0.0033249339956862283
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,6,2017-05-18,2017-05-17,234220.05056,26969.599999999977,197.86880000000002,550.4000000000005,0.0,44,1,1,2017-07-21,2017-07-20,False,26221.331199999975,0.11195169302246766
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,7,2018-10-09,2018-10-08,93558.20832,-7198.199999999997,71.84808000000001,223.2000000000002,0.0,8,1,1,2018-10-19,2018-10-18,False,-7493.248079999997,-0.08009182961660201
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,8,2019-02-28,2019-02-27,175639.62776,6692.0,142.97936,382.4000000000003,0.0,4,1,1,2019-03-06,2019-03-05,False,6166.620639999999,0.035109506428846915
earlier_diagnostic,STRESS,DOWNSIDE_REFERENCE_RISK,9,2019-05-31,2019-05-30,259668.52587999997,17680.79999999999,214.49975999999998,560.8000000000005,0.0,22,5,1,2019-07-03,2019-07-02,False,16905.50023999999,0.06510415608787525
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,1,2015-01-05,2014-12-31,65780.10152,-5107.600000000006,50.50144,146.40000000000012,640.5000000000001,11,2,1,2015-01-20,2015-01-19,False,-4664.001440000006,-0.07090292249825653
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,2,2015-02-11,2015-02-10,96966.47108,30390.800000000003,89.59968,246.99999999999773,0.0,60,3,3,2015-05-15,2015-05-14,False,30054.200320000007,0.30994425171154744
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,3,2015-06-03,2015-06-02,56288.306319999996,-5886.0,42.610279999999996,119.90000000000131,0.0,13,1,1,2015-06-23,2015-06-19,False,-6048.510280000001,-0.10745589404687567
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,4,2015-09-29,2015-09-28,83923.15584,9352.899999999994,70.7738,197.6000000000002,0.0,60,2,1,2015-12-29,2015-12-28,False,9084.526199999993,0.10824814807154888
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,5,2016-05-03,2016-04-29,325036.16248,3934.0,261.1728,814.3999999999942,0.0,60,4,5,2016-07-28,2016-07-27,False,2858.427200000006,0.008794182094048964
earlier_diagnostic,STRESS,SECOND_MOMENT_RISK_CONTROL,6,2017-05-18,2017-05-17,230815.68936,24138.899999999965,194.01731999999998,542.3999999999928,0.0,44,1,3,2017-07-21,2017-07-20,False,23402.482679999972,0.1013903463187004
