拟合收盘,成熟参考周期,状态行数,周期目标平均值,周期截距,新周期使用的平均截距
2020-08-03,19,28,-0.061151317876876415,-0.06374131546294359,0.004686170740688509
2020-08-03,20,42,0.008247154753474551,-0.010538238999030424,0.004686170740688509
2020-09-01,1,59,0.02092881846220858,0.011934510680157898,0.004686170740688509
2020-09-01,2,52,0.09501125267143296,0.24953695734501674,0.004686170740688509
2020-09-01,3,6,-0.03344760127158214,-0.04740260412647927,0.004686170740688509
2020-09-01,4,59,0.17983739018447756,0.31678749034568376,0.004686170740688509
2020-09-01,5,25,-0.08038605495456558,-0.023493308614599688,0.004686170740688509
2020-09-01,6,59,0.024250487101779742,0.07272933301445779,0.004686170740688509
2020-09-01,8,1,-0.025405979073243636,-0.11735024944318878,0.004686170740688509
2020-09-01,9,59,0.027753862878604908,-0.018825657626685838,0.004686170740688509
2020-09-01,10,59,0.008058596622428638,-0.005592959536753714,0.004686170740688509
2020-09-01,11,59,-0.009137820667817292,-0.04714176758589293,0.004686170740688509
2020-09-01,12,59,-0.035002789938302165,-0.0734925570086448,0.004686170740688509
2020-09-01,13,59,0.01734099869304303,0.0280299784205474,0.004686170740688509
2020-09-01,14,59,0.04432397497238787,0.04340418797166232,0.004686170740688509
2020-09-01,15,56,-0.054517590356695164,-0.09303524575580846,0.004686170740688509
2020-09-01,16,7,-0.04122629696962168,-0.13484371634950026,0.004686170740688509
2020-09-01,17,43,-0.04746811142656885,-0.02015706656554395,0.004686170740688509
2020-09-01,18,38,0.051028270268516716,0.022229473370627494,0.004686170740688509
2020-09-01,19,28,-0.061151317876876415,-0.06374131546294359,0.004686170740688509
2020-09-01,20,42,0.008247154753474551,-0.010538238999030424,0.004686170740688509
2020-10-09,1,59,0.02092881846220858,0.00896789680268456,0.0040229914100464925
2020-10-09,2,52,0.09501125267143296,0.24393557463017365,0.0040229914100464925
2020-10-09,3,6,-0.03344760127158214,-0.0556035599870999,0.0040229914100464925
2020-10-09,4,59,0.17983739018447756,0.31229918681911906,0.0040229914100464925
2020-10-09,5,25,-0.08038605495456558,-0.030238286308981406,0.0040229914100464925
2020-10-09,6,59,0.024250487101779742,0.06922479493734203,0.0040229914100464925
2020-10-09,8,1,-0.025405979073243636,-0.12090708893829613,0.0040229914100464925
2020-10-09,9,59,0.027753862878604908,-0.02138648744650224,0.0040229914100464925
2020-10-09,10,59,0.008058596622428638,-0.00771035778332221,0.0040229914100464925
2020-10-09,11,59,-0.009137820667817292,-0.04967629601464324,0.0040229914100464925
2020-10-09,12,59,-0.035002789938302165,-0.07519115769511883,0.0040229914100464925
2020-10-09,13,59,0.01734099869304303,0.02603874165884545,0.0040229914100464925
2020-10-09,14,59,0.04432397497238787,0.0417408203567992,0.0040229914100464925
2020-10-09,15,56,-0.054517590356695164,-0.09628001800802019,0.0040229914100464925
2020-10-09,16,7,-0.04122629696962168,-0.13897287179540102,0.0040229914100464925
2020-10-09,17,43,-0.04746811142656885,-0.025740847266386063,0.0040229914100464925
2020-10-09,18,38,0.051028270268516716,0.019426311584126096,0.0040229914100464925
2020-10-09,19,28,-0.061151317876876415,-0.06759954352210286,0.0040229914100464925
2020-10-09,20,42,0.008247154753474551,-0.012528450083038463,0.0040229914100464925
2020-10-09,21,59,-0.008577415872151887,0.060661466260752375,0.0040229914100464925
2020-11-02,1,59,0.02092881846220858,0.00896789680268456,0.0040229914100464925
2020-11-02,2,52,0.09501125267143296,0.24393557463017365,0.0040229914100464925
2020-11-02,3,6,-0.03344760127158214,-0.0556035599870999,0.0040229914100464925
2020-11-02,4,59,0.17983739018447756,0.31229918681911906,0.0040229914100464925
2020-11-02,5,25,-0.08038605495456558,-0.030238286308981406,0.0040229914100464925
2020-11-02,6,59,0.024250487101779742,0.06922479493734203,0.0040229914100464925
2020-11-02,8,1,-0.025405979073243636,-0.12090708893829613,0.0040229914100464925
2020-11-02,9,59,0.027753862878604908,-0.02138648744650224,0.0040229914100464925
2020-11-02,10,59,0.008058596622428638,-0.00771035778332221,0.0040229914100464925
2020-11-02,11,59,-0.009137820667817292,-0.04967629601464324,0.0040229914100464925
2020-11-02,12,59,-0.035002789938302165,-0.07519115769511883,0.0040229914100464925
2020-11-02,13,59,0.01734099869304303,0.02603874165884545,0.0040229914100464925
2020-11-02,14,59,0.04432397497238787,0.0417408203567992,0.0040229914100464925
2020-11-02,15,56,-0.054517590356695164,-0.09628001800802019,0.0040229914100464925
2020-11-02,16,7,-0.04122629696962168,-0.13897287179540102,0.0040229914100464925
2020-11-02,17,43,-0.04746811142656885,-0.025740847266386063,0.0040229914100464925
2020-11-02,18,38,0.051028270268516716,0.019426311584126096,0.0040229914100464925
2020-11-02,19,28,-0.061151317876876415,-0.06759954352210286,0.0040229914100464925
2020-11-02,20,42,0.008247154753474551,-0.012528450083038463,0.0040229914100464925
2020-11-02,21,59,-0.008577415872151887,0.060661466260752375,0.0040229914100464925
2020-12-01,1,59,0.02092881846220858,0.00896789680268456,0.0040229914100464925
2020-12-01,2,52,0.09501125267143296,0.24393557463017365,0.0040229914100464925
2020-12-01,3,6,-0.03344760127158214,-0.0556035599870999,0.0040229914100464925
2020-12-01,4,59,0.17983739018447756,0.31229918681911906,0.0040229914100464925
2020-12-01,5,25,-0.08038605495456558,-0.030238286308981406,0.0040229914100464925
2020-12-01,6,59,0.024250487101779742,0.06922479493734203,0.0040229914100464925
2020-12-01,8,1,-0.025405979073243636,-0.12090708893829613,0.0040229914100464925
2020-12-01,9,59,0.027753862878604908,-0.02138648744650224,0.0040229914100464925
2020-12-01,10,59,0.008058596622428638,-0.00771035778332221,0.0040229914100464925
2020-12-01,11,59,-0.009137820667817292,-0.04967629601464324,0.0040229914100464925
2020-12-01,12,59,-0.035002789938302165,-0.07519115769511883,0.0040229914100464925
2020-12-01,13,59,0.01734099869304303,0.02603874165884545,0.0040229914100464925
2020-12-01,14,59,0.04432397497238787,0.0417408203567992,0.0040229914100464925
2020-12-01,15,56,-0.054517590356695164,-0.09628001800802019,0.0040229914100464925
2020-12-01,16,7,-0.04122629696962168,-0.13897287179540102,0.0040229914100464925
2020-12-01,17,43,-0.04746811142656885,-0.025740847266386063,0.0040229914100464925
2020-12-01,18,38,0.051028270268516716,0.019426311584126096,0.0040229914100464925
2020-12-01,19,28,-0.061151317876876415,-0.06759954352210286,0.0040229914100464925
2020-12-01,20,42,0.008247154753474551,-0.012528450083038463,0.0040229914100464925
2020-12-01,21,59,-0.008577415872151887,0.060661466260752375,0.0040229914100464925
2021-01-04,1,59,0.02092881846220858,0.00896789680268456,0.0040229914100464925
2021-01-04,2,52,0.09501125267143296,0.24393557463017365,0.0040229914100464925
2021-01-04,3,6,-0.03344760127158214,-0.0556035599870999,0.0040229914100464925
2021-01-04,4,59,0.17983739018447756,0.31229918681911906,0.0040229914100464925
2021-01-04,5,25,-0.08038605495456558,-0.030238286308981406,0.0040229914100464925
2021-01-04,6,59,0.024250487101779742,0.06922479493734203,0.0040229914100464925
2021-01-04,8,1,-0.025405979073243636,-0.12090708893829613,0.0040229914100464925
2021-01-04,9,59,0.027753862878604908,-0.02138648744650224,0.0040229914100464925
2021-01-04,10,59,0.008058596622428638,-0.00771035778332221,0.0040229914100464925
2021-01-04,11,59,-0.009137820667817292,-0.04967629601464324,0.0040229914100464925
2021-01-04,12,59,-0.035002789938302165,-0.07519115769511883,0.0040229914100464925
2021-01-04,13,59,0.01734099869304303,0.02603874165884545,0.0040229914100464925
2021-01-04,14,59,0.04432397497238787,0.0417408203567992,0.0040229914100464925
2021-01-04,15,56,-0.054517590356695164,-0.09628001800802019,0.0040229914100464925
2021-01-04,16,7,-0.04122629696962168,-0.13897287179540102,0.0040229914100464925
2021-01-04,17,43,-0.04746811142656885,-0.025740847266386063,0.0040229914100464925
2021-01-04,18,38,0.051028270268516716,0.019426311584126096,0.0040229914100464925
2021-01-04,19,28,-0.061151317876876415,-0.06759954352210286,0.0040229914100464925
2021-01-04,20,42,0.008247154753474551,-0.012528450083038463,0.0040229914100464925
2021-01-04,21,59,-0.008577415872151887,0.060661466260752375,0.0040229914100464925
2021-02-01,1,59,0.02092881846220858,0.00896789680268456,0.0040229914100464925
