report_month,category,listed_publication_date,publication_date_status,days_after_report_month_end,category_scope,current_fund_count,previous_fund_count_same_report,current_shares_100m,previous_shares_100m_same_report,current_nav_100m,previous_nav_100m_same_report,share_change_100m,share_log_growth_same_report,nav_change_100m,nav_log_growth_same_report,count_change,source_url,raw_path,source_sha256,cash_net_subscription_amount,original_first_publication_proven
2023-11,混合基金,2023-12-26,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,26,OPEN_ENDED_SUBCATEGORY,4901,4877,36312.83,36563.45,40211.39,40531.56,-250.61999999999534,-0.006877985209981566,-320.16999999999825,-0.007930641079897785,24,https://www.amac.org.cn/sjtj/tjbg/gmjj/202312/P020231226608616055468.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020231226608616055468.pdf,006236daff01a978c3992b2aecf82ed2031ff49103031bd7791899907f37a460,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-12,股票基金,2024-01-25,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,25,OPEN_ENDED_SUBCATEGORY,2274,2230,26485.14,25603.58,28342.41,27766.49,881.5599999999977,0.03385163553517752,575.9199999999983,0.020529371521907598,44,https://www.amac.org.cn/sjtj/tjbg/gmjj/202401/P020240125599282291079.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240125599282291079.pdf,130ba726e42d6994cf6b556bea645536813d66c96ea4d33b535b37278cac3ec2,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2023-12,混合基金,2024-01-25,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,25,OPEN_ENDED_SUBCATEGORY,4942,4901,36503.68,36312.83,39533.25,40211.39,190.84999999999854,0.005241955073539376,-678.1399999999994,-0.017008198859507283,41,https://www.amac.org.cn/sjtj/tjbg/gmjj/202401/P020240125599282291079.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240125599282291079.pdf,130ba726e42d6994cf6b556bea645536813d66c96ea4d33b535b37278cac3ec2,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-01,股票基金,2024-02-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,2303,2274,27100.86,26485.14,26200.2,28342.41,615.7200000000012,0.022981640706006872,-2142.209999999999,-0.0785922251356342,29,https://www.amac.org.cn/sjtj/tjbg/gmjj/202402/P020240226580300463041.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240226580300463041.pdf,5b98470f8b8ecfb3c19aa42f19faa62229e6b8224930c92979f66f7b71270e49,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-01,混合基金,2024-02-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,4965,4942,35007.87,36503.68,33715.0,39533.25,-1495.8099999999977,-0.0418401840683735,-5818.25,-0.1591992477809475,23,https://www.amac.org.cn/sjtj/tjbg/gmjj/202402/P020240226580300463041.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240226580300463041.pdf,5b98470f8b8ecfb3c19aa42f19faa62229e6b8224930c92979f66f7b71270e49,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-02,股票基金,2024-03-18,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,18,OPEN_ENDED_SUBCATEGORY,2314,2303,27351.81,27100.86,30896.6,26200.2,250.95000000000073,0.009217244137820008,4696.399999999998,0.1648791011615339,11,https://www.amac.org.cn/sjtj/tjbg/gmjj/202403/P020240318619109385231.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240318619109385231.pdf,ad046b7137519169f4f7f06ba0b5838c93c7d1653ed9f1d8743369aeb1988d05,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-02,混合基金,2024-03-18,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,18,OPEN_ENDED_SUBCATEGORY,4979,4965,34571.99,35007.87,36261.92,33715.0,-435.88000000000466,-0.012529076716760049,2546.9199999999983,0.07282531264840347,14,https://www.amac.org.cn/sjtj/tjbg/gmjj/202403/P020240318619109385231.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240318619109385231.pdf,ad046b7137519169f4f7f06ba0b5838c93c7d1653ed9f1d8743369aeb1988d05,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-03,股票基金,2024-04-24,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,24,OPEN_ENDED_SUBCATEGORY,2355,2314,27222.16,27351.81,30942.89,30896.6,-129.65000000000146,-0.004751358345686041,46.29000000000087,0.00149710188896673,41,https://www.amac.org.cn/sjtj/tjbg/gmjj/202404/P020240424383784610755.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240424383784610755.pdf,327a1f2e9021a7bb23e6d9cf1e013a5093e280c4a20f997ace7c7cd546bfca56,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-03,混合基金,2024-04-24,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,24,OPEN_ENDED_SUBCATEGORY,5006,4979,34278.49,34571.99,36512.78,36261.92,-293.5,-0.008525772887707651,250.86000000000058,0.006894181456148489,27,https://www.amac.org.cn/sjtj/tjbg/gmjj/202404/P020240424383784610755.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240424383784610755.pdf,327a1f2e9021a7bb23e6d9cf1e013a5093e280c4a20f997ace7c7cd546bfca56,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-04,股票基金,2024-05-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,2406,2355,27425.74,27222.16,31802.28,30942.89,203.58000000000175,0.007450640985694781,859.3899999999994,0.027394737952949413,51,https://www.amac.org.cn/sjtj/tjbg/gmjj/202405/P020240523621098714490.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240523621098714490.pdf,e13e6a7459b32cb1964d5da6b53a6a8e2d10cd8b81bbfa5fe0a8fc4ebf5c77bc,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-04,混合基金,2024-05-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,5021,5006,34063.32,34278.49,37193.66,36512.78,-215.16999999999825,-0.006296898223026223,680.8800000000047,0.018475980355615616,15,https://www.amac.org.cn/sjtj/tjbg/gmjj/202405/P020240523621098714490.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240523621098714490.pdf,e13e6a7459b32cb1964d5da6b53a6a8e2d10cd8b81bbfa5fe0a8fc4ebf5c77bc,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-05,股票基金,2024-06-27,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,27,OPEN_ENDED_SUBCATEGORY,2447,2406,27675.26,27425.74,31394.97,31802.28,249.5199999999968,0.009056884833879864,-407.3099999999977,-0.012890296329708544,41,https://www.amac.org.cn/sjtj/tjbg/gmjj/202406/P020240627378249539916.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240627378249539916.pdf,cde8f3f4437646a424e7e7dd9b0e71a553b00c516b89a48796d5e0975c449815,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-05,混合基金,2024-06-27,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,27,OPEN_ENDED_SUBCATEGORY,5024,5021,33751.32,34063.32,36640.29,37193.66,-312.0,-0.009201617863368395,-553.3700000000026,-0.014989862024944041,3,https://www.amac.org.cn/sjtj/tjbg/gmjj/202406/P020240627378249539916.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240627378249539916.pdf,cde8f3f4437646a424e7e7dd9b0e71a553b00c516b89a48796d5e0975c449815,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-06,股票基金,2024-07-22,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,22,OPEN_ENDED_SUBCATEGORY,2474,2447,28472.32,27675.26,31048.96,31394.97,797.0600000000013,0.02839351394565914,-346.01000000000204,-0.011082375544833394,27,https://www.amac.org.cn/sjtj/tjbg/gmjj/202407/P020240722632942396302.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240722632942396302.pdf,6d102595d88629a2fa20c9ab36a5976b50f39ebf87463fc02de197454bbb22f1,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-06,混合基金,2024-07-22,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,22,OPEN_ENDED_SUBCATEGORY,5046,5024,33600.34,33751.32,35461.5,36640.29,-150.9800000000032,-0.004483341699250116,-1178.7900000000009,-0.03270085368594377,22,https://www.amac.org.cn/sjtj/tjbg/gmjj/202407/P020240722632942396302.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240722632942396302.pdf,6d102595d88629a2fa20c9ab36a5976b50f39ebf87463fc02de197454bbb22f1,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-07,股票基金,2024-08-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,2492,2474,29077.48,28472.32,32857.34,31048.96,605.1599999999999,0.021031604156936282,1808.3799999999974,0.05660984639527209,18,https://www.amac.org.cn/sjtj/tjbg/gmjj/202408/P020240823643069143347.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240823643069143347.pdf,f55f36fc278b58c11c904a335b9405d2a3fb05ef9672cc3f97973428dd44d826,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-07,混合基金,2024-08-23,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,23,OPEN_ENDED_SUBCATEGORY,5058,5046,33302.63,33600.34,34517.63,35461.5,-297.7099999999991,-0.008899813118878603,-943.8700000000026,-0.026977392929199,12,https://www.amac.org.cn/sjtj/tjbg/gmjj/202408/P020240823643069143347.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240823643069143347.pdf,f55f36fc278b58c11c904a335b9405d2a3fb05ef9672cc3f97973428dd44d826,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-08,股票基金,2024-09-24,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,24,OPEN_ENDED_SUBCATEGORY,2505,2492,29824.6,29077.48,32931.82,32857.34,747.119999999999,0.025369564912787433,74.4800000000032,0.0022642037630276985,13,https://www.amac.org.cn/sjtj/tjbg/gmjj/202409/P020240924602845593527.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240924602845593527.pdf,143206cf8736947916fde3d5aafd0113e3b82812b70e44f3b0dca395b2b2a42e,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
2024-08,混合基金,2024-09-24,LIST_DATE_PLAUSIBLE_ORIGINAL_TIME_NOT_INDEPENDENTLY_PROVEN,24,OPEN_ENDED_SUBCATEGORY,5075,5058,32826.62,33302.63,33011.1,34517.63,-476.00999999999476,-0.014396601248072079,-1506.5299999999988,-0.044626339461347975,17,https://www.amac.org.cn/sjtj/tjbg/gmjj/202409/P020240924602845593527.pdf,data/raw/510300_fundamental_and_fund_flow_rebuild_v1/amac/P020240924602845593527.pdf,143206cf8736947916fde3d5aafd0113e3b82812b70e44f3b0dca395b2b2a42e,NOT_IDENTIFIED_BY_AGGREGATE_SHARES,False
