report_month,category,same_scope,previous_month_shares_difference_100m,previous_month_nav_difference_100m,source_url,previous_source_url
2024-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202403/P020240318619109385231.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202402/P020240226580300463041.pdf
2024-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202404/P020240424383784610755.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202403/P020240318619109385231.pdf
2024-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202405/P020240523621098714490.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202404/P020240424383784610755.pdf
2024-05,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202406/P020240627378249539916.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202405/P020240523621098714490.pdf
2024-06,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202407/P020240722632942396302.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202406/P020240627378249539916.pdf
2024-07,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202408/P020240823643069143347.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202407/P020240722632942396302.pdf
2024-08,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202409/P020240924602845593527.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202408/P020240823643069143347.pdf
2024-09,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202410/P020241023614041521031.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202409/P020240924602845593527.pdf
2024-10,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202411/P020241128595503927691.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202410/P020241023614041521031.pdf
2024-11,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202412/P020241223622525038000.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202411/P020241128595503927691.pdf
2024-12,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202501/P020250120614819434355.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202412/P020241223622525038000.pdf
2025-01,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202502/P020250226610356872211.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202501/P020250120614819434355.pdf
2025-02,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202503/P020250327635138711379.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202502/P020250226610356872211.pdf
2025-03,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202504/P020250429577858251990.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202503/P020250327635138711379.pdf
2025-04,混合基金,True,0.0,0.0,https://www.amac.org.cn/sjtj/tjbg/gmjj/202505/P020250527617658347356.pdf,https://www.amac.org.cn/sjtj/tjbg/gmjj/202504/P020250429577858251990.pdf
