period,cost,model,state,days,mean_daily_return,annualized_arithmetic_return,annualized_volatility,conditional_sharpe,net_pnl,trade_days,mean_exposure
较早历史,BASE,TREND_NOISE_REFERENCE_BLEND,压力回撤,543,0.00031990367308296644,0.07741668888607788,0.04547043520102582,1.7025719798769674,38945.225479999994,14,0.08412466112197958
较早历史,BASE,TREND_NOISE_REFERENCE_BLEND,上升稳定,460,0.00021319459529655564,0.05159309206176647,0.035123670917284605,1.4688980597519816,22489.981939999998,7,0.09401862504778573
较早历史,BASE,TREND_NOISE_REFERENCE_BLEND,非上升,78,-0.0007833093855314072,-0.18956087129860055,0.07226036441995941,-2.62330356095244,-14177.233820000023,5,0.22714118900255725
较早历史,BASE,RETURN_RUNS_STATE,上升高波动,138,0.00025750453889426437,0.06231609841241198,0.06899858677309592,0.9031503589680825,7604.153660000011,3,0.12912606847473265
较早历史,BASE,RETURN_RUNS_STATE,压力回撤,543,0.00014775050495533169,0.03575562219919027,0.020650013012244336,1.731506037211169,16758.430700000055,5,0.01828322054941885
较早历史,BASE,RETURN_RUNS_STATE,上升稳定,460,8.530069417213546e-05,0.020642767989656783,0.054764631501093564,0.3769361250836606,8006.248439999996,20,0.21795157764912074
较早历史,BASE,RETURN_RUNS_STATE,非上升,78,-0.0002299156734224724,-0.055639592968238324,0.04356277930340299,-1.277227804514574,-4132.554120000015,2,0.03124570067835925
较早历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,上升高波动,138,0.000624847585876732,0.15121311578216914,0.13948448469462194,1.0840855605784763,19697.875300000043,14,0.3380826343761074
较早历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,压力回撤,543,0.00045780417617897405,0.11078861063531172,0.0520761998765913,2.1274327024217476,59192.775259999966,16,0.10199506847669311
较早历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,上升稳定,460,0.0002893724199772499,0.07002812563449448,0.06665145024157731,1.0506616942418874,32663.072359999962,27,0.311066800801166
较早历史,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,非上升,78,-0.0010132394705983216,-0.24520395188479382,0.08385231069735345,-2.9242360746599307,-20606.489699999976,7,0.2583928370853788
较早历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,上升高波动,138,0.0006249827565471801,0.15124582708441758,0.13948650796991127,1.0843043480380405,19805.478820000048,14,0.3380975221904586
较早历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,压力回撤,543,0.0004555292947263085,0.11023808932376665,0.05207714552386863,2.116822806143263,58913.105059999914,15,0.10128023069850502
较早历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,上升稳定,460,0.0002893928381535018,0.07003306683314744,0.06665332073973361,1.0507063422482879,32756.696939999907,27,0.31106208937395163
较早历史,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,非上升,78,-0.000761275172831608,-0.18422859182524914,0.07236853826200917,-2.5457000548809257,-15020.273099999933,6,0.23916251372525435
较早历史,BASE,BUY_HOLD,上升高波动,138,2.498939023210611e-05,0.006047432436169679,0.2991631738840585,0.020214494844587313,-981.754479999945,1,0.9754985859174762
较早历史,BASE,BUY_HOLD,压力回撤,543,0.00019434246884849133,0.0470308774613349,0.316262644486541,0.1487082912927972,-6758.8000000000175,0,0.9627026136896476
较早历史,BASE,BUY_HOLD,上升稳定,460,0.0009254615131303951,0.2239616861775556,0.12886289626824127,1.7379842659391767,85935.74871999997,1,0.9577503566686002
较早历史,BASE,BUY_HOLD,非上升,78,-0.00232801742183537,-0.5633802160841596,0.18965663537675428,-2.9705273161943455,-35733.0,0,0.9648271747537519
较早历史,STRESS,TREND_NOISE_REFERENCE_BLEND,上升高波动,138,0.00037420781156294244,0.09055829039823207,0.0897679456402244,1.0088043092929322,11023.122039999958,11,0.22863328687701637
较早历史,STRESS,TREND_NOISE_REFERENCE_BLEND,压力回撤,543,0.00035062407766943383,0.08485102679600298,0.04761726735718555,1.7819381813643442,43171.03396,13,0.09099169227474094
较早历史,STRESS,TREND_NOISE_REFERENCE_BLEND,上升稳定,460,0.00020586222603501933,0.04981865870047468,0.03514118582576156,1.417671530707232,21568.835039999976,8,0.09571630349674956
较早历史,STRESS,TREND_NOISE_REFERENCE_BLEND,非上升,78,-0.0007982331998774081,-0.19317243437033277,0.07177713534684493,-2.6912809133002535,-14403.13003999996,5,0.226886955117281
较早历史,STRESS,RETURN_RUNS_STATE,上升高波动,138,0.00025351857640827625,0.06135149549080285,0.06898721816981523,0.889316849097804,7458.4550000000745,3,0.12945811144074504
较早历史,STRESS,RETURN_RUNS_STATE,压力回撤,543,0.0001418677976236228,0.03433200702491672,0.020202763807536033,1.6993717964524335,16036.18923999989,5,0.01830152201470704
较早历史,STRESS,RETURN_RUNS_STATE,上升稳定,460,6.499678860615045e-05,0.01572922284268841,0.05466734984681596,0.2877260903768602,5876.6530000000785,20,0.2179612839632511
