fit_origin,cycles,rows,huber_delta,objective,maximum_gradient
2024-04-01,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2024-05-06,20,885,0.007459622631068678,0.0008151128497323387,3.075169991654386e-08
2024-06-03,20,885,0.006712914841834284,0.0006863722578805272,5.739047131449182e-08
2024-07-01,20,885,0.006712914841834284,0.0006863722578805272,5.739047131449182e-08
2024-08-01,20,915,0.007072560883594603,0.0007089050628955644,6.416166734718454e-08
2024-09-02,20,915,0.007072560883594603,0.0007089050628955644,6.416166734718454e-08
2024-10-08,20,896,0.007198926577646971,0.0007134029483694929,4.6589114288675404e-08
2024-11-01,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2024-12-02,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-01-02,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-02-05,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-03-03,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-04-01,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-05-06,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-06-03,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-07-01,20,842,0.008665049180127064,0.0011438468155574786,2.7252330819099724e-08
2025-08-01,20,842,0.008716017193651057,0.0011404457486226252,5.8282177100524996e-08
2025-09-01,20,842,0.008716017193651057,0.0011404457486226252,5.8282177100524996e-08
2025-10-09,20,842,0.008716017193651057,0.0011404457486226252,5.8282177100524996e-08
2025-11-03,20,842,0.009259612669898467,0.0012845712544609588,3.489414527398267e-08
2025-12-01,20,842,0.009259612669898467,0.0012845712544609588,3.489414527398267e-08
2026-01-05,20,842,0.009259612669898467,0.0012845712544609588,3.489414527398267e-08
2026-02-02,20,842,0.008933144507876155,0.0012386796785521154,8.35398116299721e-08
2026-03-02,20,795,0.008768876007088415,0.0012204804331750088,5.551953365654557e-08
2026-04-01,20,795,0.008768876007088415,0.0012204804331750088,5.551953365654557e-08
2026-05-06,20,795,0.008768876007088415,0.0012204804331750088,5.551953365654557e-08
2026-06-01,20,795,0.008768876007088415,0.0012204804331750088,5.551953365654557e-08
2026-07-01,20,795,0.008768876007088415,0.0012204804331750088,5.551953365654557e-08
2026-08-03,20,790,0.008850408251808507,0.0012198813342356597,3.1744295875095474e-08
