path,bytes,sha256,storage,assets,reason,captured_mtime_ns,changed_since_inventory
data/raw/510300_forward_eps_csi_originals_v1/AP202507011701040657.html,42525,b8e56c5810b227673299ffa284ebcdcbe2de3ddbce7842b8d1696847336e1dbc,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706520292051800,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507011701040657.pdf,3950024,db4f16fea52f2421ee076a12317e4eeac4e4bcc5a5a75501b646b0636e26c6eb,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706525262648700,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507021701448514.html,41690,45f07ac0be3ec9a247541ca37bd0a2a02765494f89fa8ca150ec0bb7bff3b814,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706522738038500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507021701448514.pdf,2578582,a3c176189e8b8154e016be5b86b74aed3341c36c1fbee2aed2927962f18f0747,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706526763666000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507061704014903.html,42146,378ff45935a981d79cb7ab9f9f6fd1e35077ce31ce000c3f7647b419b989820f,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706523733677500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507061704014903.pdf,1621509,9ccf54af3e4856afcc0a05426138317c9a79c2783f5a4aea97bd390e239ddf60,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706527360374400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507081705220474.html,42010,5eb21e522d38abc1a84eada41b123a3cf98e7f9827f5f0c212a11ace9bb02def,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706527037077400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507081705220474.pdf,820987,5f64c0fc9321eff0ef43ca976f15cb4835612e084243b936ee88048042f91521,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706530118467300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507091705647943.html,49455,70291c00b68d37f412a568fe5b3f1b5e2ff66ada0de57c875278b4794537bea4,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706528963429900,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507091705647943.pdf,482153,4e7404c329af84a37234a6669f6b1ebfb0c61312980ff982df6a6ad52e370a0e,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706533737086000,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507091705814978.html,43051,60ecddbaa6c4ebb2139097671af53c016fd930ff7aa23cc10d11e3ffc074ba83,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706529201728300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507091705814978.pdf,14545041,a83a6891bb68e4f43070ebfea473cd59edf1fac0df950d382b3c10a57d16f6b1,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706542583642700,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507141708784888.html,41386,245610ef77e125cd4e02c88e47788c1d564717972ed199f485a5e53c85ef7fcb,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706531484018400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507141708784888.pdf,311587,ab83dfc9c059f1b30e9a348c46803d94b64fae29ed81f665b1b4726566d547f7,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706534063895300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507151709147336.html,45863,d26752dce660c6f4f835823d7bf4e83911c02d36ea97f2fce77d29c94c046067,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706534977493400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507151709147336.pdf,514268,4a9f365cc23ca865aa957185ce3ea071e9cc77c15d08a1b4e8bab4f318bb4bce,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706538537964500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507161710034181.html,43123,12760a569a9b0f4bc53f6e284b9fc16d8717eb54ef88b927ad3ada15ece32df6,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706535315768600,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507161710034181.pdf,3643307,6242c4d8fd51ede40de29391f3b41703f2e9880e62da32b4a2b760ce3cfbfd88,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706540018094400,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507181710994092.html,50077,87faba55bc01b92758699e57cfc5d6604b1f92e53ed6ca8f73f55dc7fd32fa48,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706540588853300,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507181710994092.pdf,280309,3593d0dcf7ec1f83a6082189a0279cdefa7ed41fa5fc2cfd013e2bdf62e8147f,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706543710259200,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507201712358617.html,43359,9d98c310e368891300b5f10824ffec390c97691d5ab06925cce3a3b4be5cbf3d,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706542336316500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507201712358617.pdf,160033,7b2535d0f0a284bd96c0b8d08eb0db15edade29c06bc40255947024fd049fee0,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706545010290600,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507211713123561.html,41967,81a13c514367543b3849a346d1e165b8cae69e3816dc13ca5770a1001b16b73c,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706545268604500,False
data/raw/510300_forward_eps_csi_originals_v1/AP202507211713123561.pdf,2149947,9132040fa51b27262b7d50761d634c7344bed0d9331123406f327f9bd16da6d3,release,"[""510300-materials-007.zip""]",510300、沪深300及既有研究别名直接路径,1788706548990126200,False
