stockCode,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at,ts_code
000596,古井贡酒,AP202011031426077990,2020-11-03 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020三季报点评：省内销售恢复向好，Q3收入超预期,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,000596.SZ
688396,华润微,AP202012091438228100,2020-12-09 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：晶圆代工景气度上行，公司业绩迎来向上弹性,6,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,688396.SH
601658,邮储银行,AP202012221442590722,2020-12-22 00:00:00.000,80000007,国信证券股份有限公司,国信证券,事件快评：直销银行成立有望带来增量价值,6,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,601658.SH
600519,贵州茅台,AP202012221442631792,2020-12-22 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：十三五圆满收官，十四五开启高质量发展新征程,5,data/raw/510300_forward_eps_csi_directory_v1/2020_0001.json,2026-09-06T21:22:57.967709+08:00,600519.SH
000860,顺鑫农业,AP202101041446860362,2021-01-04 00:00:00.000,80000007,国信证券股份有限公司,国信证券,短中长逻辑清晰，牛栏山享受全方位升级,29,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,000860.SZ
601658,邮储银行,AP202101101449310422,2021-01-10 00:00:00.000,80000007,国信证券股份有限公司,国信证券,事件快评：定增有望维持其长期成长能力,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,601658.SH
000568,泸州老窖,AP202101121449863719,2021-01-12 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：国窖量价齐升贡献业绩增长，期待2021春节开门红,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,000568.SZ
688981,中芯国际,AP202101271454757072,2021-01-27 00:00:00.000,80000007,国信证券股份有限公司,国信证券,半导体中军，成熟制程渐入佳境,27,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,688981.SH
688981,中芯国际,AP202102051459130006,2021-02-05 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年业绩预告点评：业绩符合预期，核心竞争力持续提升,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,688981.SH
600519,贵州茅台,AP202103011466711325,2021-03-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：供销两旺确保十四五开局，估值回落布局机会显现,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,600519.SH
000860,顺鑫农业,AP202103011466781414,2021-03-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：五年目标对标行业前八强，21年持续推进深度全国化,7,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,000860.SZ
600809,山西汾酒,AP202103101470303306,2021-03-10 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年业绩快报点评：20年业绩略超预期，期待21Q1开门红,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,600809.SH
000568,泸州老窖,AP202103301478359883,2021-03-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：高档酒增长支撑20Q4业绩略超预期，21Q1仍值得期待,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,000568.SZ
601658,邮储银行,AP202103301478690946,2021-03-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年报点评：资产质量依然优异,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,601658.SH
600519,贵州茅台,AP202104011480045742,2021-04-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年年报点评：20年业绩略超预期，21年有望继续快速增长,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,600519.SH
688981,中芯国际,AP202104011480442029,2021-04-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年报点评：半导体高景气度，加码成熟制程,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,688981.SH
603369,今世缘,AP202104201486580213,2021-04-20 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年年报点评：年报业绩符合预期，21年业绩指引积极,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,603369.SH
002027,分众传媒,AP202104251487654967,2021-04-25 00:00:00.000,80000007,国信证券股份有限公司,国信证券,年报及1季报点评：增长迅猛，上半年继续保持高增速,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0002.json,2026-09-06T21:23:01.106772+08:00,002027.SZ
600809,山西汾酒,AP202104271488125799,2021-04-27 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年年报及2021Q1季报点评：业绩持续超预期，21年指引收入增速30%,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,600809.SH
002756,永兴材料,AP202104281488334433,2021-04-28 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年报及2021一季报点评：低成本优势确认，碳酸锂高增长可期,7,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,002756.SZ
000860,顺鑫农业,AP202104281488430805,2021-04-28 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2021年一季报点评：21Q1业绩恢复正增长，看好全年利润改善,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,000860.SZ
600519,贵州茅台,AP202104291488571425,2021-04-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2021年一季报点评：消费税拉低一季度业绩，21年前低后高仍值得期待,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,600519.SH
000858,五粮液,AP202104291488590484,2021-04-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年年报及2021年一季报点评：21Q1业绩保持稳增长，全年挺价放量仍可期,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,000858.SZ
603369,今世缘,AP202105061490003842,2021-05-06 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2021年一季报点评：21Q1业绩符合预期，国缘升级放量稳步推进,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,603369.SH
000596,古井贡酒,AP202105061490004331,2021-05-06 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年报及2021一季报点评：21Q1销售平稳恢复，市场份额持续提升,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,000596.SZ
601658,邮储银行,AP202105061490004349,2021-05-06 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2021年一季报点评：收入增速回升，资产质量优异,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,601658.SH
000568,泸州老窖,AP202105061490004418,2021-05-06 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2020年报及2021一季报点评：21Q1业绩符合预期，“十四五”坚定重回行业前三,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,000568.SZ
688981,中芯国际,AP202105141491641105,2021-05-14 00:00:00.000,80000007,国信证券股份有限公司,国信证券,21Q1财报及21Q2预告点评：半导体高景气度，业绩超预期,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,688981.SH
002304,洋河股份,AP202105311495171312,2021-05-31 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：改革势能向上，双名酒多品牌助力公司长远发展,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,002304.SZ
000596,古井贡酒,AP202106071496518734,2021-06-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：全力打造古20大单品，省外扩张稳步推进,6,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,000596.SZ
603369,今世缘,AP202106071496525652,2021-06-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：四开产品升级顺利，回款动销较好确保上半年业绩,5,data/raw/510300_forward_eps_csi_directory_v1/2021_0001.json,2026-09-06T21:22:59.155766+08:00,603369.SH
