date,history_available,reference_year_net_return,positive_history
2015-04-20,True,0.767802704200002,True
2015-04-21,True,0.8051852042000023,True
2015-04-22,True,0.8543727042000024,True
2015-04-23,True,0.8524052042000023,True
2015-04-24,True,0.8457157042000023,True
2015-04-27,True,0.8838852042000027,True
2015-04-28,True,0.8594882042000025,True
2015-04-29,True,0.8697192042000024,True
2015-04-30,True,0.8657842042000026,True
2015-05-04,True,0.8760152042000025,True
2015-05-05,True,0.8047917042000026,True
2015-05-06,True,0.7859037042000023,True
2015-05-07,True,0.7548172042000023,True
2015-05-08,True,0.7819687042000028,True
2015-05-11,True,0.8406002042000027,True
2015-05-12,True,0.8618492042000023,True
2015-05-13,True,0.8445352042000023,True
2015-05-14,True,0.8402067042000025,True
2015-05-15,True,0.8362980687000028,True
2015-05-18,True,0.8362980687000028,True
2015-05-19,True,0.8362980687000028,True
2015-05-20,True,0.8362980687000028,True
2015-05-21,True,0.8362980687000028,True
2015-05-22,True,0.8362980687000028,True
2015-05-25,True,0.8362980687000028,True
2015-05-26,True,0.8362980687000028,True
2015-05-27,True,0.8362980687000028,True
2015-05-28,True,0.8362980687000028,True
2015-05-29,True,0.8362980687000028,True
2015-06-01,True,0.8362980687000028,True
2015-06-02,True,0.8362980687000028,True
2015-06-03,True,0.8195782638000031,True
2015-06-04,True,0.8401972638000033,True
2015-06-05,True,0.8430412638000031,True
2015-06-08,True,0.8881897638000031,True
2015-06-09,True,0.8729032638000032,True
2015-06-10,True,0.8711257638000034,True
2015-06-11,True,0.8714812638000036,True
2015-06-12,True,0.8853457638000033,True
2015-06-15,True,0.8401972638000033,True
2015-06-16,True,0.791849263800003,True
2015-06-17,True,0.8185117638000032,True
2015-06-18,True,0.7470562638000029,True
2015-06-19,True,0.6382732638000028,True
2015-06-23,True,0.6415002795000031,True
2015-06-24,True,0.6415002795000031,True
2015-06-25,True,0.6415002795000031,True
2015-06-26,True,0.6415002795000031,True
2015-06-29,True,0.6415002795000031,True
2015-06-30,True,0.6415002795000031,True
2015-07-01,True,0.6415002795000031,True
2015-07-02,True,0.6415002795000031,True
2015-07-03,True,0.6415002795000031,True
2015-07-06,True,0.6415002795000031,True
2015-07-07,True,0.6415002795000031,True
2015-07-08,True,0.6415002795000031,True
2015-07-09,True,0.6415002795000031,True
2015-07-10,True,0.6415002795000031,True
2015-07-13,True,0.6415002795000031,True
2015-07-14,True,0.6415002795000031,True
2015-07-15,True,0.6415002795000031,True
2015-07-16,True,0.6415002795000031,True
2015-07-17,True,0.6415002795000031,True
2015-07-20,True,0.6415002795000031,True
2015-07-21,True,0.6415002795000031,True
2015-07-22,True,0.6415002795000031,True
2015-07-23,True,0.6415002795000031,True
2015-07-24,True,0.6415002795000031,True
2015-07-27,True,0.641826971215832,True
2015-07-28,True,0.6200235952690636,True
2015-07-29,True,0.6397580048085887,True
2015-07-30,True,0.6053666556700683,True
2015-07-31,True,0.6100013763386001,True
2015-08-03,True,0.6200235952690631,True
2015-08-04,True,0.637694246300333,True
2015-08-05,True,0.637007480711246,True
2015-08-06,True,0.6146629355241946,True
2015-08-07,True,0.6213693264877662,True
2015-08-10,True,0.6166690203190341,True
