cycle_new,entry_date_new,entry_origin,buy_debit_new,gross_price_profit_new,commission_new,slippage_new,dividend_recognized_new,held_closes_new,buy_trades_new,sell_trades_new,exit_date_new,exit_origin_new,terminal_exit_new,net_profit_new,cycle_net_return_new,cycle_old,entry_date_old,buy_debit_old,gross_price_profit_old,commission_old,slippage_old,dividend_recognized_old,held_closes_old,buy_trades_old,sell_trades_old,exit_date_old,exit_origin_old,terminal_exit_old,net_profit_old,cycle_net_return_old,_merge,period,cost
24,2026-01-16,2026-01-15,262139.61744,-14151.00000000003,101.94060000000002,320.39999999996473,6568.2,12,1,1,2026-02-03,2026-02-02,False,-8005.140599999994,-0.030537698491271567,,,,,,,,,,,,,,,,left_only,evaluation,BASE
25,2026-05-06,2026-04-30,254212.63236,1252.7999999999884,101.85264000000001,313.1999999999655,0.0,2,1,1,2026-05-08,2026-05-07,False,837.7473600000228,0.0032954592076040404,20.0,2026-05-06,282945.47777999996,1394.4000000000233,113.36472,348.5999999999616,0.0,2.0,1.0,1.0,2026-05-08,2026-05-07,False,932.4352800000617,0.003295459207604169,both,evaluation,BASE
26,2026-05-13,2026-05-12,254121.01404,-257.0000000000582,101.51500000000001,308.39999999996604,0.0,2,1,1,2026-05-15,2026-05-14,False,-666.9150000000243,-0.0026243992552896405,21.0,2026-05-13,282301.74906000006,-4853.5,111.8589,342.600000000013,0.0,3.0,1.0,1.0,2026-05-18,2026-05-15,False,-5307.958900000013,-0.018802430086509548,both,evaluation,BASE
27,2026-06-05,2026-06-04,253509.89184,-7481.999999999971,99.82536,309.60000000001173,0.0,2,1,1,2026-06-09,2026-06-08,False,-7891.425359999983,-0.031128668403127124,22.0,2026-06-05,277583.5056,9605.0,112.8644,338.99999999996265,0.0,11.0,1.0,1.0,2026-06-23,2026-06-22,False,9153.135600000038,0.03297434975545621,both,evaluation,BASE
28,2026-06-23,2026-06-22,246017.99375999998,-5130.399999999994,97.30336,290.400000000011,0.0,2,1,1,2026-06-25,2026-06-24,False,-5518.103360000005,-0.022429673844845375,,,,,,,,,,,,,,,,left_only,evaluation,BASE
29,2026-07-23,2026-07-22,241286.7477,-3636.0,95.70760000000001,303.0000000000115,0.0,2,1,1,2026-07-27,2026-07-24,False,-4034.7076000000116,-0.016721629507048186,23.0,2026-07-23,287632.91508,-5658.799999999988,113.82616000000002,361.19999999996026,0.0,6.0,1.0,1.0,2026-07-31,2026-07-30,False,-6133.826159999948,-0.021325188594267568,both,evaluation,BASE
30,2026-08-07,2026-08-06,236910.07254000002,2213.1999999999825,95.12736000000001,301.80000000001144,0.0,2,1,1,2026-08-11,2026-08-10,False,1816.272639999971,0.00766650662222608,24.0,2026-08-07,281183.52546000003,1850.7000000000116,112.74942000000001,358.2000000000136,0.0,5.0,1.0,1.0,2026-08-14,2026-08-13,True,1379.750579999998,0.004906939614413062,both,evaluation,BASE
1,2020-02-05,2020-02-04,199707.45104,4532.200000000012,161.34632000000002,421.6000000000238,0.0,2,1,1,2020-02-07,2020-02-06,False,3949.253679999988,0.01977519446286949,1.0,2020-02-05,199707.45104,8642.800000000017,162.99056000000002,421.6000000000238,0.0,18.0,1.0,1.0,2020-03-02,2020-02-28,False,8058.209439999993,0.04035006905368788,both,evaluation,STRESS
2,2020-07-01,2020-06-30,203812.69248,32707.800000000017,175.87368000000004,485.99999999998965,0.0,10,1,1,2020-07-15,2020-07-14,False,32045.926320000028,0.1572322406915098,2.0,2020-07-01,208006.36928,33380.80000000002,179.49248000000003,495.9999999999894,0.0,10.0,1.0,1.0,2020-07-15,2020-07-14,False,32705.307520000028,0.1572322406915098,both,evaluation,STRESS
3,2020-08-19,2020-08-18,235411.72704,-6134.100000000006,185.60724000000002,482.9999999999897,0.0,14,1,1,2020-09-08,2020-09-07,False,-6802.707239999996,-0.02889706186490919,3.0,2020-08-19,240285.67584,-11684.100000000006,187.28084,492.9999999999895,0.0,17.0,1.0,1.0,2020-09-11,2020-09-10,False,-12364.380839999994,-0.051457003405534316,both,evaluation,STRESS
