entry,start_index,start_equity,exit,end_index,days,profit,total_return,end_equity,drawdown,commission,slippage,account
2015-10-16,189,206036.09016000002,2016-01-05,245,57,-3907.8945999999996,-0.018967039206409297,202128.19556000002,-0.04633040136027944,59.994600000000005,168.80000000000015,early_N70_STRESS
2016-01-18,254,202128.19556000002,2016-01-27,261,8,-2446.2896000000183,-0.012102663822939341,199681.90596,-0.02325123012466146,43.2896,124.60000000000208,early_N70_STRESS
2016-05-17,333,199681.90596,2016-08-11,393,61,7981.986200000014,0.03997350767274299,207663.89216000002,-0.026269184698939574,205.91380000000004,639.1999999999731,early_N70_STRESS
2019-02-27,1010,207663.89216000002,2019-05-07,1055,46,-403.2549600000202,-0.0019418636326498095,207260.6372,-0.04965583760851899,71.45496,193.6000000000002,early_N70_STRESS
2020-02-05,18,200000.0,2020-03-17,47,30,-2384.4097000000183,-0.011922048500000115,197615.59029999998,-0.04612971313632519,31.309700000000003,85.69999999999948,main_N50_BASE
2020-06-23,113,197615.59029999998,2020-09-16,172,60,21542.166000000027,0.10901045796688869,219157.7563,-0.03041737111229348,88.23400000000001,290.99999999999903,main_N50_BASE
2021-01-05,244,219157.7563,2021-03-01,278,35,4631.926099999982,0.021135122836626552,223789.6824,-0.03596269377609762,59.173899999999996,165.00000000000625,main_N50_BASE
2021-05-25,335,223789.6824,2021-07-28,380,46,-9692.910300000047,-0.04331258794440318,214096.77209999994,-0.06380579448313894,98.61030000000001,291.00000000000676,main_N50_BASE
2021-10-18,431,214096.77209999994,2022-01-11,491,61,-2447.9486000000325,-0.011433841696859681,211648.8234999999,-0.044924069980132764,105.6486,311.4000000000078,main_N50_BASE
2022-05-25,577,211648.8234999999,2022-08-04,627,51,1728.5212800000154,0.008166930727115496,213377.34477999993,-0.06456613587356286,74.07872,248.50000000001225,main_N50_BASE
2024-02-08,997,213377.34477999993,2024-05-17,1057,61,10250.064719999966,0.048037268110952214,223627.4094999999,-0.02911502105833208,87.13528,246.39999999999833,main_N50_BASE
2024-06-27,1085,223627.4094999999,2024-09-09,1137,53,-10574.932,-0.04728817466358037,213052.4774999999,-0.07563000304144263,114.93200000000002,337.9999999999709,main_N50_BASE
2025-04-11,1276,213052.4774999999,2025-07-10,1336,61,12597.698639999959,0.05912955712988577,225650.17613999985,-0.02544092137047116,86.70136,273.0000000000032,main_N50_BASE
2025-12-09,1438,225650.17613999985,2026-01-28,1472,35,5292.053580000007,0.02345246819890212,230942.22971999986,-0.016962703355592468,92.44642000000002,292.7999999999728,main_N50_BASE
2026-05-13,1537,230942.22971999986,2026-07-20,1584,48,-7454.018900000054,-0.03227655205822466,223488.2108199998,-0.04839757498485453,83.1189,256.2000000000054,main_N50_BASE
2020-02-05,18,200000.0,2020-03-17,47,30,-2494.8537999999826,-0.012474268999999927,197505.14620000002,-0.04614203578475906,61.35380000000001,166.10000000000613,main_N50_STRESS
2020-06-23,113,197505.14620000002,2020-09-16,172,60,21227.71331999998,0.107479292202868,218732.85952,-0.030345803180653386,173.98668000000004,483.00000000003257,main_N50_STRESS
2021-01-05,244,218732.85952,2021-03-01,278,35,4428.241119999962,0.02024497430206673,223161.10063999996,-0.03604962313479865,118.35888,330.0000000000125,main_N50_STRESS
2021-05-25,335,223161.10063999996,2021-07-28,380,46,-9991.94180000003,-0.044774567661408304,213169.15883999993,-0.06473633733831641,196.84180000000003,551.3000000000079,main_N50_STRESS
2021-10-18,431,213169.15883999993,2022-01-11,491,61,-2798.820000000007,-0.013129572848297189,210370.33883999992,-0.045064279096568516,204.42000000000004,562.8999999999997,main_N50_STRESS
2022-05-25,577,210370.33883999992,2022-08-04,627,51,1465.4355599999835,0.006965979938429179,211835.7743999999,-0.06472734308543582,145.86444000000003,423.99999999999886,main_N50_STRESS
2024-02-08,997,211835.7743999999,2024-05-17,1057,61,9841.12612000003,0.04645639362791232,221676.90051999994,-0.02921880802834742,172.57388,488.79999999997943,main_N50_STRESS
2024-06-27,1085,221676.90051999994,2024-09-09,1137,53,-10921.985159999982,-0.0492698388256948,210754.91535999996,-0.07684385854634512,227.68516,669.5999999999674,main_N50_STRESS
2025-04-11,1276,210754.91535999996,2025-07-10,1336,61,12160.503999999986,0.0576997408541009,222915.41935999994,-0.025452968178929503,171.496,485.99999999999443,main_N50_STRESS
2025-12-09,1438,222915.41935999994,2026-01-28,1472,35,4927.881439999968,0.022106507724535707,227843.3007999999,-0.01742250262969891,182.61856,481.9999999999897,main_N50_STRESS
2026-05-13,1537,227843.3007999999,2026-07-20,1584,48,-7614.767119999975,-0.03342107094333313,220228.53367999993,-0.04874149016071572,163.56712,425.99999999999267,main_N50_STRESS
2020-02-05,18,200000.0,2020-03-17,47,30,-2384.4097000000183,-0.011922048500000115,197615.59029999998,-0.04612971313632519,31.309700000000003,85.69999999999948,main_N60_BASE
2020-07-01,117,197615.59029999998,2020-09-23,177,61,17954.59826,0.09085618312170185,215570.18855999998,-0.030406424346383965,85.30174000000001,279.5999999999953,main_N60_BASE
2021-01-05,244,215570.18855999998,2021-03-01,278,35,4579.782780000009,0.02124497274225523,220149.97134,-0.035928117797419445,58.31722,162.60000000000616,main_N60_BASE
2021-06-08,345,220149.97134,2021-07-28,380,36,-12879.344159999979,-0.058502592944284726,207270.62718,-0.06368589614238007,85.44416,251.40000000000535,main_N60_BASE
2021-10-29,440,207270.62718,2022-01-17,495,56,-4468.2336999999825,-0.021557486271895354,202802.39348000003,-0.06112830995841967,101.1337,306.0000000000116,main_N60_BASE
2022-05-13,569,202802.39348000003,2022-08-04,627,59,1205.581360000011,0.005944611103018804,204007.97484000004,-0.06451953785099773,71.11864,237.00000000001174,main_N60_BASE
2022-08-10,631,204007.97484000004,2022-09-08,652,22,-2068.6286800000235,-0.010139940272542836,201939.34616000002,-0.02809192995007692,71.62868,257.40000000000975,main_N60_BASE
